,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,23.57,0.35,0.25,0.41,0.35,0.23,0.77,0.76,1.73,0.73,0.95,0.94,1.01,0.23,0.94,0.93
f_1,0.66,24.0,0.34,0.33,0.28,0.31,0.68,0.7,0.69,0.78,0.17,0.77,0.95,0.6,0.67,0.65
d_1,0.28,0.37,27.55,0.31,0.33,0.4,0.7,0.67,0.16,1.7,0.68,0.97,0.95,0.8,0.95,0.59
c_1,0.28,0.4,0.32,27.86,0.67,0.35,0.75,0.63,0.81,0.12,0.72,0.69,1.06,0.75,0.89,0.8
b_1,0.31,0.33,0.3,0.29,34.15,0.68,0.77,0.67,0.73,0.77,0.91,0.16,0.84,1.02,0.79,0.82
a_1,0.37,0.32,0.41,0.32,0.38,43.99,0.81,0.67,0.63,0.84,0.77,0.61,0.76,0.72,0.77,0.14
h_1,0.54,0.96,0.57,0.63,0.59,0.57,9.84,2.06,1.47,1.29,1.48,1.34,0.43,1.58,1.69,1.47
g_1,0.66,0.6,1.18,0.46,0.42,0.72,1.1,12.03,0.99,1.36,2.46,1.5,1.07,1.32,0.62,1.47
d_0,0.57,0.62,0.18,1.73,0.68,0.68,1.21,1.11,5.0,1.15,1.71,1.3,1.3,1.57,1.63,1.71
c_0,0.76,0.62,0.94,0.24,0.52,0.78,1.14,1.47,1.33,5.53,1.96,3.15,1.67,2.0,1.75,1.78
f_0,0.62,0.25,0.55,0.86,0.68,0.69,1.62,1.24,1.84,1.29,6.83,1.88,1.28,4.17,2.13,1.83
b_0,0.63,0.62,0.8,0.74,0.23,0.53,1.42,1.52,1.54,1.47,1.77,7.35,1.56,1.96,1.84,4.07
h_0,0.51,0.83,0.78,0.79,0.54,0.8,0.49,1.64,1.59,1.27,1.41,1.35,0.57,1.25,2.26,1.32
e_0,0.13,0.77,0.88,0.94,0.69,0.66,1.59,1.63,1.39,1.67,1.94,1.26,1.79,9.67,1.35,1.24
g_0,0.45,0.46,1.34,0.67,0.61,0.51,1.19,0.69,1.47,1.42,2.69,1.44,1.55,2.28,0.87,1.22
a_0,0.59,0.8,1.12,0.75,0.57,0.21,1.38,1.31,1.51,1.25,1.73,1.73,1.59,1.14,1.72,9.73
