,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,1.14,9.08,11.1,10.7,10.44,11.55,2.42,3.93,2.44,2.59,9.55,2.09,1.01,1.98,2.51,2.64
d_1,12.58,1.14,14.57,10.88,11.65,9.89,3.81,2.3,7.57,2.36,2.16,1.8,1.68,1.01,2.02,1.76
e_1,5.74,12.39,1.14,13.33,13.46,13.41,3.99,3.33,2.54,2.43,2.74,2.98,1.89,1.83,2.44,10.18
c_1,11.99,15.67,12.56,1.15,11.25,11.91,2.71,2.92,1.47,8.94,2.48,1.98,2.2,1.72,2.2,2.62
b_1,17.95,14.44,12.74,6.72,1.15,15.47,4.64,5.05,2.94,3.1,2.58,12.64,1.84,2.42,3.27,3.12
a_1,20.68,32.06,18.66,34.61,11.79,1.15,7.33,5.24,4.22,3.48,3.87,4.32,3.19,3.62,,3.76
h_1,28.29,26.88,23.98,25.61,24.06,25.57,1.89,9.89,4.74,4.83,4.78,5.9,11.16,3.85,4.0,5.01
g_1,43.12,28.18,33.52,38.27,37.15,28.63,6.81,1.9,6.46,5.65,5.62,7.93,3.19,10.08,6.59,4.87
d_0,31.86,79.41,17.71,36.14,40.76,33.65,10.46,11.53,2.65,6.89,7.74,5.84,6.14,4.66,7.12,7.52
c_0,48.44,19.85,34.19,154.9,37.15,36.19,10.46,9.11,9.84,2.67,6.99,8.7,5.44,5.25,10.17,6.92
f_0,153.74,32.06,38.8,45.82,38.62,29.06,10.46,7.86,12.67,5.7,2.58,6.9,4.93,3.66,6.47,7.21
b_0,45.92,32.06,36.73,50.83,133.41,37.61,10.21,11.93,8.67,4.47,7.54,2.85,7.19,5.18,8.68,6.29
h_0,57.03,44.23,42.11,54.22,58.7,53.28,42.9,15.73,14.02,8.81,11.46,9.83,22.32,9.32,9.89,9.35
g_0,62.04,54.59,52.32,61.38,57.55,66.14,11.59,62.91,13.18,11.75,11.46,12.95,7.19,24.87,10.79,9.61
a_0,55.25,55.46,70.47,58.09,73.38,,16.5,20.97,11.17,9.66,11.46,6.56,8.31,9.32,2.87,9.61
e_0,114.06,59.22,156.95,49.29,50.6,71.04,13.2,15.38,13.18,10.51,6.03,11.3,10.87,8.11,19.78,2.81
