,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,108.87,95.15,73.92,96.18,144.86,281.55,9272.66,18327.03,23748.67,19977.05,37511.63,41683.11,82955.85,95524.81,227985.47,151727.86
e_1,60.97,109.55,72.06,105.93,139.54,340.96,13075.53,19074.64,37192.97,25817.29,44406.11,68573.86,103639.06,114809.35,250116.2,183862.83
d_1,66.1,62.51,124.89,77.92,130.18,333.63,10030.83,16207.32,16603.9,37485.62,45959.18,64402.76,87746.44,108960.95,215985.74,211099.94
c_1,58.36,55.29,70.86,144.51,212.02,298.13,8389.18,14468.03,17598.23,15584.58,24727.64,46632.61,78025.89,98587.91,197654.57,158385.13
b_1,48.91,49.02,63.19,61.85,213.97,433.79,8080.9,15224.29,17848.52,17142.54,19469.95,44987.18,54470.78,87460.31,177266.67,155130.9
a_1,41.64,36.4,48.44,54.56,79.6,424.32,6902.65,12300.39,14068.07,14324.4,22026.57,36073.5,45534.27,88087.04,146295.14,121007.4
h_1,20.03,13.8,18.42,23.84,31.93,68.93,3599.69,5515.09,6067.67,5912.34,9184.35,13471.57,19207.29,23152.86,70967.46,51884.56
g_1,11.92,11.93,21.94,18.69,25.48,66.43,1745.91,5756.87,3831.13,4672.2,7134.08,15055.64,14770.78,19036.01,47830.34,39040.64
d_0,12.53,10.06,12.27,28.01,30.46,60.58,1986.21,3747.56,5821.87,3358.69,6961.4,10880.09,17259.89,22052.03,43913.87,37440.85
c_0,14.6,12.48,12.58,16.53,23.68,59.03,2071.4,4178.68,5431.84,6067.37,13269.33,12742.28,20741.27,22624.72,45203.67,45444.83
b_0,12.54,10.24,12.16,17.99,23.63,45.2,1800.36,3586.91,4020.83,3269.99,8380.09,8353.53,25020.87,21846.83,42302.14,33249.11
f_0,9.19,8.14,11.16,14.83,22.39,51.34,1730.72,2341.73,3769.88,3292.18,6044.04,11843.37,12309.02,16995.52,33956.63,57151.86
a_0,9.95,7.49,9.59,11.95,18.26,33.23,1487.73,2770.39,3057.76,2847.47,4694.44,7762.51,16589.74,13797.06,31619.03,23812.85
h_0,11.0,8.29,10.15,11.53,17.46,30.11,1042.65,2978.62,2620.83,2686.28,4283.24,7169.39,10779.97,11719.07,34814.25,23092.12
g_0,6.27,5.86,9.26,8.96,13.42,34.77,1001.0,1449.34,2160.59,2139.56,3295.59,7702.6,8887.29,10579.97,19435.64,21036.33
e_0,7.05,5.36,7.65,10.94,13.61,30.24,941.02,2086.21,2101.81,2156.65,3839.15,4010.67,9219.83,11678.08,23311.88,30146.41
