,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.94,0.41,0.34,0.48,0.39,0.26,0.27,0.44,0.24,0.23,0.27,0.26,0.17,0.22,0.12,0.21
f_1,0.68,0.94,0.42,0.38,0.32,0.21,0.24,0.23,0.23,0.25,0.21,0.12,0.2,0.21,0.14,0.18
d_1,0.51,0.45,0.95,0.35,0.33,0.27,0.33,0.17,0.22,0.41,0.27,0.22,0.21,0.24,0.22,0.19
c_1,0.42,0.46,0.44,0.94,0.58,0.29,0.31,0.22,0.2,0.13,0.2,0.21,0.18,0.25,0.18,0.23
b_1,0.4,0.5,0.52,0.38,0.94,0.47,0.3,0.29,0.26,0.26,0.11,0.24,0.17,0.24,0.22,0.17
a_1,0.57,0.6,0.43,0.55,0.37,0.93,0.38,0.26,0.3,0.3,0.33,0.27,0.13,0.25,0.19,0.21
h_1,0.76,0.94,0.67,0.59,0.55,0.37,0.75,0.38,0.38,0.34,0.33,0.31,0.31,0.26,0.26,0.38
d_0,0.62,0.75,0.49,1.16,0.62,0.48,0.48,0.65,0.43,0.34,0.43,0.36,0.32,0.42,0.27,0.32
g_1,0.67,0.59,0.99,0.74,0.56,0.38,0.51,0.4,0.75,0.48,0.37,0.53,0.36,0.37,0.32,0.29
c_0,0.79,0.84,0.7,0.61,0.46,0.38,0.59,0.51,0.44,0.65,0.71,0.41,0.38,0.4,0.31,0.41
b_0,0.73,0.95,0.69,0.8,0.45,0.4,0.6,0.45,0.48,0.36,0.64,0.41,0.62,0.43,0.32,0.37
f_0,0.6,0.62,0.92,0.89,0.63,0.5,0.6,0.51,0.41,0.49,0.47,0.63,0.43,0.45,0.63,0.38
a_0,1.0,0.78,0.76,0.89,0.75,0.38,0.64,0.5,0.43,0.43,0.34,0.41,0.64,0.45,0.35,0.33
h_0,0.9,1.12,0.84,0.75,0.66,0.45,0.4,0.48,0.56,0.48,0.41,0.41,0.36,0.33,0.31,0.52
e_0,0.54,1.02,0.9,0.86,0.71,0.67,0.61,0.51,0.5,0.59,0.57,0.37,0.39,0.51,0.61,0.41
g_0,0.85,0.81,1.16,0.76,0.84,0.45,0.56,0.46,0.33,0.43,0.49,0.59,0.4,0.42,0.38,0.3
