,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,104.94,84.91,69.18,71.86,104.85,301.27,6809.02,15258.84,20703.22,21752.15,30547.89,28653.35,80509.23,82438.93,81085.32,150380.25
e_1,49.09,112.41,87.12,62.83,110.65,304.21,7639.82,19072.05,33518.43,23637.5,31961.21,41699.46,81223.88,84429.29,78991.88,163292.81
c_1,46.94,41.87,133.32,77.27,156.2,327.06,6552.34,15052.07,16715.5,10312.04,23249.5,34073.71,81699.98,72364.06,114775.62,133174.96
d_1,51.44,51.93,52.72,136.94,108.81,302.39,7139.72,13761.9,12210.06,33256.23,33552.43,38530.96,81394.93,81944.94,115300.42,120369.06
b_1,42.49,41.92,50.27,53.44,194.85,496.31,6351.46,13278.19,17754.7,20125.75,13720.48,33076.09,62516.26,60724.32,100095.81,128187.35
a_1,30.24,35.64,35.14,47.22,45.0,514.95,4681.42,8885.29,9776.43,12168.47,16860.87,20946.6,43078.09,27523.14,57596.89,62882.43
h_1,16.96,14.31,18.8,20.13,27.92,75.62,3123.02,5383.35,5253.15,5781.01,7749.32,9584.57,18704.3,21630.38,29524.83,59135.03
g_1,10.16,8.07,14.81,21.38,22.03,71.65,1418.26,5845.64,3893.56,4830.19,6316.7,12177.54,15761.28,20771.2,29184.22,25262.72
d_0,9.73,9.32,23.5,10.54,20.9,71.63,1506.94,3061.1,5494.86,3537.9,6458.72,7608.99,17790.47,15654.54,23579.83,35125.98
c_0,11.97,10.45,11.84,12.81,17.28,77.19,1656.7,2803.5,4416.84,5956.2,9448.61,7710.9,17859.75,19541.89,26600.27,28089.05
b_0,10.11,10.45,14.22,12.08,15.06,55.24,1301.65,2996.94,3525.4,3483.75,7656.59,6983.3,17249.24,25795.26,22078.7,31443.36
f_0,7.21,7.06,13.63,11.55,17.32,65.53,1444.24,2561.49,3753.75,3995.83,4381.11,9722.32,15130.46,11017.33,35869.48,25581.51
h_0,9.3,7.66,9.43,9.75,14.52,44.55,691.12,2820.56,2503.94,2667.66,3626.44,5295.87,9521.22,10983.78,12238.74,26346.46
a_0,7.38,7.68,9.52,8.74,14.65,41.3,994.77,1618.38,2096.21,2496.19,3153.01,4982.37,11417.93,17075.44,9987.66,19317.27
e_0,7.26,4.61,8.2,7.55,12.65,47.56,938.57,2054.68,2645.88,2355.72,3294.65,4320.07,12814.26,10799.23,22329.33,17529.85
g_0,5.21,5.62,8.28,10.92,11.03,42.3,689.58,1734.45,2026.15,2464.53,2751.02,6101.91,9004.42,9372.42,13524.39,13379.79
