,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,2.37,1.78,1.06,1.02,1.03,0.98,2.05,2.4,2.43,2.08,2.16,1.52,2.36,1.84,2.22,3.17
e_1,0.99,2.39,1.5,1.11,0.88,1.15,2.27,3.89,2.18,2.14,2.98,2.71,3.49,2.03,2.94,3.22
c_1,1.21,0.87,2.57,1.08,1.93,1.11,2.29,1.95,1.37,1.93,1.73,2.44,3.03,2.91,2.16,2.7
d_1,1.39,1.18,0.96,2.62,1.07,0.87,2.0,1.53,3.7,1.91,2.61,2.51,3.56,2.4,2.67,2.91
b_1,1.14,1.08,0.97,1.17,2.73,2.04,2.04,2.25,2.31,2.0,1.42,2.5,3.13,2.67,1.91,2.91
a_1,1.18,0.96,1.1,1.32,1.0,3.22,2.67,2.7,2.73,3.03,3.17,2.82,2.73,2.77,2.15,3.2
h_1,1.56,1.2,1.07,1.42,1.21,1.03,4.07,2.45,2.46,3.1,2.53,2.74,2.36,3.09,2.99,4.42
d_0,1.2,1.08,2.08,0.86,1.48,1.06,2.33,3.78,2.59,2.51,2.94,2.97,3.43,3.31,2.51,3.82
c_0,1.32,1.26,1.1,1.23,1.15,1.16,2.81,2.63,4.02,2.53,4.7,3.19,3.57,2.7,3.17,3.84
g_1,1.15,1.1,1.43,1.74,1.2,1.16,1.98,2.41,2.58,4.58,2.49,3.71,3.07,3.16,2.95,1.57
b_0,1.44,1.22,1.55,1.15,0.85,0.79,2.76,2.58,2.51,2.79,4.42,2.61,3.7,3.17,5.45,3.45
f_0,1.04,1.11,1.42,1.44,1.23,1.21,2.6,2.64,2.39,2.36,2.97,4.46,3.51,5.47,3.27,3.19
h_0,1.72,1.11,1.35,1.24,1.05,1.25,1.84,2.92,3.02,2.99,2.99,2.58,2.72,2.51,2.59,4.47
e_0,1.45,0.77,1.32,1.61,1.35,1.07,2.64,2.64,2.91,2.26,2.4,2.58,3.38,5.01,3.38,4.14
a_0,1.49,1.19,1.31,1.49,1.45,,2.28,3.28,2.88,2.05,2.32,2.63,3.99,3.3,5.14,3.57
g_0,1.1,1.13,1.31,1.91,1.17,1.22,2.15,2.3,2.91,2.58,2.97,3.84,2.58,2.75,3.02,2.67
