,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,1.5,0.66,0.66,0.8,0.68,0.52,0.91,0.73,1.26,0.63,0.78,0.77,0.85,0.74,0.61,0.59
f_1,1.09,1.52,0.59,0.67,0.54,0.52,0.74,0.7,0.84,0.85,0.78,0.47,0.67,0.69,0.56,0.57
d_1,0.69,0.8,1.55,0.54,0.68,0.54,0.79,0.7,0.63,1.25,0.85,0.78,0.96,0.73,0.7,0.65
c_1,0.66,0.7,0.79,1.55,1.01,0.53,0.8,0.7,0.66,0.48,0.5,0.69,0.91,0.82,0.7,0.59
b_1,0.66,0.78,0.72,0.63,1.59,0.89,0.66,0.68,0.84,0.96,0.57,0.84,0.99,0.85,0.63,0.73
a_1,0.78,0.82,0.71,0.82,0.64,1.75,0.96,0.92,0.88,0.64,0.9,0.82,0.95,0.85,0.51,0.66
h_1,0.81,1.11,0.94,0.91,0.85,0.61,1.73,1.13,0.92,0.96,1.03,1.22,0.86,1.33,0.88,0.9
g_1,0.9,0.9,1.26,0.95,0.76,0.63,1.07,1.81,0.83,1.05,0.91,1.54,1.08,0.85,1.01,0.93
d_0,0.83,1.03,0.57,1.56,0.89,0.72,1.11,1.09,1.58,0.81,1.1,1.15,1.19,1.05,0.92,0.95
c_0,1.09,0.91,0.93,0.83,0.63,0.88,1.29,1.1,1.3,1.65,2.05,1.22,1.17,1.35,1.02,0.84
b_0,0.92,1.02,1.04,1.21,0.74,0.7,1.26,1.1,1.14,0.83,1.69,1.01,1.3,1.28,1.65,0.93
f_0,0.82,0.82,1.07,1.07,0.87,0.82,0.97,1.0,1.18,1.18,1.14,1.66,1.38,1.3,1.17,1.71
h_0,1.02,1.52,0.93,0.99,0.86,0.76,0.93,1.32,1.17,1.12,1.06,0.95,0.98,1.47,0.98,0.85
g_0,0.98,1.07,1.55,1.02,0.97,0.8,1.08,0.8,1.09,1.01,1.09,1.39,1.17,0.92,0.81,0.84
a_0,1.07,1.14,0.99,1.1,0.94,0.75,1.22,0.99,1.23,1.32,1.05,1.01,1.47,1.3,1.74,0.86
e_0,0.63,1.12,1.06,1.2,1.02,0.84,1.4,1.06,1.27,1.25,1.18,1.03,1.33,1.35,1.08,1.77
