,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.09,0.99,0.89,0.98,0.94,1.08,1.29,0.85,1.02,1.13,0.98,1.03,1.01,0.83,1.07
f_1,0.92,1.0,1.28,1.02,0.91,0.92,0.88,0.86,1.02,1.03,0.9,0.86,0.86,0.93,1.02,0.8
e_1,1.01,0.79,1.0,1.18,1.1,0.97,1.01,0.99,1.05,1.35,1.05,1.22,1.08,1.03,1.12,1.04
c_1,1.11,1.01,0.85,1.0,1.49,0.86,0.83,0.89,0.95,0.73,0.76,0.87,0.96,0.89,0.96,1.02
b_1,1.04,1.08,0.92,0.68,1.0,1.49,1.17,1.07,1.06,0.9,1.12,1.08,1.03,1.02,1.09,1.01
a_1,1.06,1.09,1.02,1.15,0.67,1.0,1.13,0.98,1.16,0.99,1.15,1.05,1.13,1.03,1.2,0.94
h_1,0.93,1.09,0.96,1.2,0.86,0.87,1.0,0.92,1.16,0.98,0.89,0.97,0.96,0.88,1.1,0.94
c_0,0.79,1.14,1.1,1.07,0.89,1.05,1.09,1.0,1.08,1.14,1.48,0.99,1.12,1.2,1.07,1.06
g_1,1.13,1.01,0.93,1.05,0.94,0.87,0.83,0.91,1.0,0.88,0.91,1.05,0.91,0.98,0.88,1.02
d_0,0.99,0.96,0.74,1.31,1.13,1.05,1.02,0.85,1.08,1.0,1.05,0.95,1.03,1.02,1.09,0.93
b_0,0.9,1.07,1.02,1.27,0.91,0.85,1.07,0.73,1.07,0.99,1.0,1.09,1.05,1.45,1.07,1.09
f_0,1.03,1.07,0.82,1.12,0.97,0.96,1.04,0.99,0.96,0.98,0.95,1.0,1.07,1.15,0.81,1.48
h_0,0.99,1.13,0.95,1.0,1.0,0.9,1.06,0.89,1.06,0.97,0.94,0.94,1.0,0.94,1.14,0.92
a_0,0.97,1.05,0.99,1.16,1.01,0.88,1.15,0.86,1.0,1.03,0.71,0.98,1.08,1.0,1.11,1.13
g_0,1.17,0.98,0.88,1.05,0.93,0.84,0.93,0.96,1.06,0.9,0.92,1.22,0.87,0.9,1.0,1.07
e_0,0.96,1.23,0.99,0.96,0.95,0.98,1.09,1.02,0.97,1.11,0.91,0.69,1.08,0.91,0.89,1.0
