,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.0,0.82,0.94,1.14,1.02,1.11,1.08,1.24,1.11,0.99,0.97,1.24,1.02,1.04,1.12,1.07
f_1,1.26,1.0,0.92,1.05,0.94,0.87,0.83,1.03,1.06,0.94,0.96,0.91,0.86,0.91,1.01,0.73
d_1,1.06,1.09,1.0,0.89,0.93,0.93,1.0,1.07,0.87,1.28,1.17,0.94,1.02,0.99,0.79,1.03
c_1,0.87,1.0,1.09,1.0,1.27,0.99,1.02,0.75,0.89,0.84,0.83,0.91,1.0,0.96,1.04,0.97
b_1,0.94,1.06,1.04,0.79,1.0,1.22,1.14,0.95,1.02,1.05,0.97,1.03,1.0,0.93,0.96,1.06
a_1,0.9,1.1,1.06,1.03,0.82,1.0,1.12,1.01,1.1,1.05,1.27,1.04,1.14,1.28,1.06,1.07
h_1,0.94,1.16,1.01,0.95,0.9,0.86,1.0,1.04,1.13,0.99,0.93,0.94,1.03,1.01,1.27,1.01
d_0,0.81,0.94,0.96,1.34,1.05,1.02,0.93,1.0,1.06,0.82,0.99,0.99,1.16,1.0,1.13,1.01
g_1,0.92,0.95,1.15,1.07,0.99,0.9,0.85,0.95,1.0,0.94,0.93,1.18,0.88,0.95,1.13,1.05
c_0,1.03,1.06,0.78,1.2,0.98,0.96,1.02,1.23,1.08,1.0,1.39,1.07,1.12,1.15,1.04,1.06
b_0,1.03,1.04,0.91,1.2,0.99,0.79,1.06,1.01,1.06,0.73,1.0,0.99,1.12,1.29,1.07,1.0
f_0,0.86,1.07,1.09,1.05,1.0,0.98,1.06,1.01,0.86,0.91,0.96,1.0,1.04,0.94,0.93,1.41
h_0,1.02,1.13,0.98,1.0,1.0,0.91,0.96,0.88,1.11,0.87,0.9,0.95,1.0,1.0,1.11,1.01
a_0,1.03,1.07,1.04,1.1,1.07,0.8,1.01,1.0,1.02,0.89,0.79,0.96,1.08,1.0,1.22,0.96
g_0,0.89,1.01,1.22,0.93,1.0,0.94,0.79,0.9,0.94,0.99,0.95,1.11,0.92,0.81,1.0,0.99
e_0,0.96,1.42,0.98,1.0,0.88,0.85,1.05,0.94,1.01,0.94,1.05,0.72,1.03,0.98,1.01,1.0
