,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.0,0.78,0.97,1.1,1.0,0.89,0.73,0.72,0.84,0.58,0.74,0.6,0.63,0.63,0.62,0.6
f_1,1.28,1.0,0.86,0.97,0.84,0.83,0.58,0.67,0.64,0.58,0.59,0.59,0.49,0.5,0.45,0.59
d_1,1.02,1.16,1.0,0.97,0.85,0.74,0.71,0.54,0.63,0.8,0.61,0.73,0.59,0.63,0.56,0.46
c_1,0.92,1.03,1.03,1.0,1.34,0.77,0.72,0.72,0.48,0.53,0.61,0.51,0.62,0.52,0.58,0.56
b_1,0.98,1.19,1.15,0.75,1.0,1.32,0.79,0.78,0.69,0.83,0.68,0.65,0.66,0.54,0.6,0.6
a_1,1.15,1.18,1.31,1.3,0.77,1.0,0.94,0.82,0.88,0.82,0.74,0.83,0.77,0.64,0.8,0.71
h_1,1.39,1.69,1.45,1.38,1.2,1.09,1.0,1.21,0.94,0.88,0.88,0.88,0.91,0.78,0.78,0.9
g_1,1.43,1.52,1.82,1.4,1.32,1.22,0.81,1.0,0.92,1.05,1.12,0.87,0.75,0.86,0.88,0.93
d_0,1.18,1.57,1.64,2.09,1.43,1.14,1.09,1.04,1.0,0.81,0.84,0.93,1.07,0.91,0.85,0.87
c_0,1.58,1.67,1.24,1.86,1.2,1.3,1.17,1.03,1.33,1.0,1.09,1.36,0.92,0.94,0.88,0.95
f_0,1.42,1.8,1.61,1.65,1.5,1.3,1.14,0.89,1.15,0.97,1.0,1.09,0.96,0.91,1.47,0.76
b_0,1.63,1.76,1.39,1.91,1.5,1.27,1.02,1.13,1.1,0.79,0.96,1.0,1.0,1.28,0.79,0.88
h_0,1.6,1.98,1.83,1.56,1.56,1.32,1.08,1.35,0.95,1.15,1.0,1.0,1.0,0.9,0.8,1.09
a_0,1.61,1.91,1.62,1.79,1.82,1.66,1.33,1.13,1.12,1.12,1.09,0.81,1.12,1.0,0.98,0.97
e_0,1.67,2.25,1.68,1.73,1.64,1.28,1.27,1.17,1.17,1.15,0.72,1.24,1.23,1.02,1.0,0.93
g_0,1.71,1.71,2.16,1.71,1.6,1.4,1.09,1.07,1.16,1.13,1.37,1.12,0.96,1.11,1.18,1.0
