,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.05,1.17,1.53,1.98,1.57,1.46,0.62,0.61,0.6,0.45,0.42,0.49,0.36,0.55,0.4,0.4
f_1,1.97,1.05,1.55,1.64,1.64,1.25,0.48,0.56,0.67,0.48,0.46,0.46,0.31,0.33,0.39,0.36
d_1,2.06,2.14,1.05,1.74,1.74,1.32,0.66,0.73,0.43,0.57,0.51,0.48,0.39,0.48,0.41,0.27
c_1,1.5,2.04,2.17,1.05,2.11,1.56,0.69,0.36,0.76,0.67,0.55,0.57,0.43,0.47,0.44,0.36
b_1,2.28,1.97,2.17,1.24,1.06,2.15,0.75,0.63,0.79,0.71,0.95,0.61,0.57,0.54,0.58,0.42
a_1,2.82,3.32,3.46,2.81,1.59,1.06,1.17,0.89,0.97,0.99,0.94,0.84,0.67,0.77,1.19,0.64
h_1,4.92,5.81,4.81,4.86,4.67,3.82,1.28,1.57,2.01,1.42,1.38,1.12,1.29,1.15,1.15,1.07
d_0,3.95,5.67,6.68,7.57,5.22,4.79,2.34,1.41,2.23,1.69,1.61,1.59,1.27,1.33,1.35,1.49
g_1,5.78,6.24,6.26,5.77,5.36,4.76,1.67,1.79,1.31,1.67,1.77,1.79,1.1,1.48,1.36,1.27
c_0,7.16,6.62,4.0,8.68,6.07,4.25,2.36,2.25,1.94,1.41,1.93,1.86,1.33,1.6,1.51,1.25
b_0,7.12,6.45,5.55,8.08,7.85,5.22,2.53,2.22,2.22,1.3,1.41,1.84,1.53,1.85,1.79,1.45
f_0,6.66,9.91,6.57,7.34,6.72,5.28,3.23,1.93,1.74,1.96,2.01,1.45,1.47,1.96,1.59,1.05
h_0,7.82,9.0,7.58,8.37,6.77,6.34,3.47,2.53,2.84,2.31,2.26,2.35,2.19,2.09,1.93,2.06
e_0,9.97,12.81,7.53,10.98,9.78,6.85,3.47,2.9,2.81,2.66,2.32,1.61,2.0,1.47,2.07,1.89
a_0,9.9,9.98,8.34,10.73,10.81,9.32,4.04,2.98,3.19,2.37,1.58,3.44,2.0,2.57,1.57,2.02
g_0,10.05,11.06,10.84,11.0,9.83,7.59,3.16,2.92,3.93,3.27,3.33,3.0,1.81,2.41,2.53,2.27
