,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,0.44,5.05,4.21,4.35,4.13,4.2,1.16,3.6,0.83,0.92,0.86,0.84,0.45,0.94,0.7,0.41
e_1,4.14,0.44,2.46,3.99,5.19,4.37,1.69,0.87,1.53,1.02,1.19,1.01,0.73,0.79,6.38,0.84
f_1,4.29,4.7,0.43,4.23,4.94,6.78,0.74,0.99,1.52,0.72,3.04,0.79,0.39,0.78,0.73,0.63
c_1,5.83,3.67,4.37,0.42,4.11,4.94,1.19,0.48,1.44,5.32,0.76,0.92,0.76,0.94,0.95,0.91
b_1,5.36,5.58,6.87,2.68,0.38,4.1,1.52,0.83,1.32,1.41,0.83,4.82,0.77,1.32,1.04,0.78
a_1,4.77,5.63,5.9,7.07,2.9,0.34,2.33,1.09,1.84,1.45,1.29,1.54,1.23,5.8,1.54,0.96
h_1,4.66,5.34,5.14,6.13,4.57,4.5,0.35,1.13,2.09,0.94,1.09,1.08,3.1,0.93,0.91,0.78
d_0,22.23,2.87,6.4,6.26,6.53,4.61,1.66,0.46,1.49,1.09,0.93,1.12,0.84,0.89,0.9,1.03
g_1,5.82,5.28,4.99,6.34,6.49,4.98,1.22,1.68,0.32,1.25,0.97,1.13,0.74,2.11,1.2,1.54
c_0,2.88,6.3,5.45,21.48,6.11,4.27,1.82,1.65,1.68,0.41,1.35,1.35,1.12,1.13,1.32,0.93
f_0,5.05,6.45,20.95,6.04,6.71,5.42,1.85,1.16,1.15,1.19,0.42,1.06,0.97,0.87,0.92,0.45
b_0,5.72,5.02,5.85,8.9,22.99,5.9,1.76,1.43,1.33,0.56,1.05,0.4,0.86,1.29,1.13,0.66
h_0,6.61,6.49,8.42,5.91,8.18,6.32,4.32,1.47,1.89,1.21,1.11,1.12,2.31,1.31,1.14,0.84
a_0,5.65,6.41,7.7,8.08,9.42,,2.28,1.72,1.96,1.32,1.51,0.68,1.16,0.36,1.34,0.9
e_0,5.93,14.73,10.55,9.4,7.01,4.99,2.02,1.66,1.31,1.33,0.63,1.39,0.93,1.01,0.36,1.1
g_0,6.91,7.6,10.78,6.44,6.23,7.4,1.93,1.66,7.51,1.08,1.46,1.5,0.89,1.52,1.28,1.86
