,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,3.65,0.76,0.39,0.36,0.37,0.31,0.81,0.8,0.82,0.68,0.64,0.17,0.72,0.48,0.71,0.83
e_1,0.38,3.76,0.46,0.41,0.26,0.4,0.78,1.43,0.67,0.61,1.04,0.86,0.96,0.23,0.92,0.89
c_1,0.41,0.32,4.3,0.34,0.79,0.37,0.73,0.81,0.17,0.74,0.58,0.85,0.94,0.99,0.73,0.79
d_1,0.52,0.43,0.28,4.43,0.4,0.29,0.65,0.16,1.41,0.71,0.85,0.91,1.09,0.82,0.92,0.95
b_1,0.39,0.29,0.44,0.42,4.86,0.92,0.72,0.69,0.7,0.6,0.11,0.79,0.85,0.93,0.54,0.68
a_1,0.37,0.31,0.33,0.38,0.46,6.78,0.92,0.88,0.97,1.12,0.85,0.85,0.79,0.74,0.14,0.86
h_1,1.01,0.6,0.54,0.8,0.64,0.57,5.31,1.12,1.25,1.64,1.57,1.45,0.63,1.73,1.32,2.11
d_0,0.64,0.7,1.42,0.26,0.67,0.55,0.96,3.49,1.45,1.2,1.71,1.61,1.8,1.93,1.38,1.57
c_0,0.65,0.81,0.3,0.77,0.64,0.69,1.72,1.29,4.15,1.47,3.09,1.79,1.73,1.25,1.69,2.0
g_1,0.59,0.57,0.83,1.1,0.56,0.6,0.97,1.16,1.41,6.75,1.29,2.47,1.49,1.69,1.25,0.3
b_0,0.88,0.71,0.8,0.65,0.2,0.35,1.6,1.41,1.65,1.42,5.11,1.48,1.83,1.74,3.56,1.75
f_0,0.3,0.62,0.93,0.95,0.63,0.58,1.56,1.45,1.28,1.36,1.67,4.88,1.32,4.24,1.56,1.52
h_0,1.02,0.59,0.76,0.71,0.56,0.69,0.36,1.62,1.71,1.74,1.73,1.23,0.73,1.23,1.64,2.15
e_0,0.79,0.19,0.73,1.04,0.76,0.68,1.45,1.74,1.55,1.29,1.16,1.86,1.48,6.16,2.03,1.98
a_0,0.86,0.69,0.79,0.84,0.67,,1.31,1.7,1.78,1.11,1.64,1.42,1.65,1.81,6.91,1.81
g_0,0.56,0.56,0.71,1.28,0.61,0.67,1.08,1.3,1.64,0.75,1.64,2.1,1.22,1.32,1.3,
