,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.17,0.97,0.96,0.93,0.86,0.46,0.41,0.41,0.4,0.41,,0.26,0.4,0.33,0.45
e_1,0.85,1.0,0.84,1.02,0.9,0.78,0.5,0.49,0.36,0.56,0.39,0.41,0.37,0.29,,0.33
d_1,1.03,1.19,1.0,0.87,0.78,0.67,0.54,0.6,0.28,,0.47,0.4,0.37,0.32,0.34,0.32
c_1,1.04,0.98,1.16,1.0,1.89,0.79,0.55,,0.43,0.3,0.43,0.42,0.38,0.35,0.25,0.47
b_1,1.08,1.11,1.29,0.53,1.0,1.3,0.64,0.46,0.46,0.49,,0.35,0.54,0.4,0.34,0.32
a_1,1.16,1.28,1.5,1.26,0.77,1.0,0.62,0.61,0.51,0.56,0.5,0.62,0.6,,,0.43
h_1,2.18,1.99,1.84,1.83,1.56,1.61,1.0,0.83,1.21,0.68,0.81,0.75,,0.68,0.74,0.69
c_0,2.41,2.02,1.66,,2.2,1.64,1.21,1.0,0.89,1.15,1.27,0.87,0.9,0.77,0.8,0.62
g_1,2.42,2.76,3.52,2.34,2.17,1.97,0.83,1.12,1.0,0.75,0.8,1.03,0.49,0.74,,
d_0,2.48,1.79,,3.35,2.04,1.79,1.48,0.87,1.34,1.0,1.06,0.81,0.73,0.69,0.61,0.63
b_0,2.42,2.57,2.11,2.32,,1.98,1.23,0.79,1.26,0.94,1.0,0.89,1.32,1.42,0.71,0.67
f_0,,2.43,2.5,2.37,2.83,1.62,1.33,1.15,0.97,1.24,1.12,1.0,1.02,1.18,1.32,0.56
h_0,3.77,2.73,2.7,2.61,1.84,1.66,,1.11,2.02,1.36,0.76,0.98,,0.7,,0.97
a_0,2.49,3.44,3.14,2.85,2.48,,1.47,1.29,1.36,1.45,0.7,0.85,1.43,1.0,,1.16
e_0,3.07,,2.94,3.95,2.96,,1.36,1.25,,1.63,1.4,0.76,,,1.0,
g_0,2.23,3.0,3.11,2.15,3.15,2.35,1.46,1.62,,1.59,1.49,1.79,1.03,0.86,,
