,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.12,4.21,4.94,5.17,6.02,4.44,1.1,1.16,1.52,0.93,1.03,1.84,0.47,1.1,0.82,0.82
d_1,5.92,1.12,5.87,5.58,4.45,4.98,1.81,2.41,1.04,1.31,1.08,1.11,0.76,1.03,1.02,0.53
e_1,2.85,6.64,1.13,6.22,5.81,5.55,1.56,1.28,2.02,0.99,1.15,1.45,0.97,1.15,2.71,0.99
c_1,5.82,7.63,4.85,1.13,6.64,6.15,1.43,0.61,1.64,2.57,1.08,1.08,0.91,1.1,1.06,0.83
b_1,6.98,6.64,7.27,3.77,1.13,5.9,2.44,1.66,1.94,1.85,3.8,1.22,1.08,1.6,1.97,1.05
a_1,16.28,9.28,8.23,8.81,4.61,1.14,2.98,2.03,3.62,1.92,2.23,1.91,1.51,4.52,1.96,1.25
h_1,16.65,16.5,18.22,21.36,17.84,16.48,1.76,3.75,4.71,3.46,3.16,3.66,3.74,2.88,3.29,2.96
d_0,22.21,44.57,11.57,20.27,26.51,24.52,7.45,2.38,6.02,4.33,4.16,4.16,3.21,3.76,4.99,3.3
g_1,23.64,20.07,24.46,22.11,24.25,20.81,4.71,5.54,1.8,4.9,4.35,4.74,2.35,5.0,3.88,7.39
c_0,27.34,11.52,24.82,53.59,26.03,22.15,7.19,7.03,7.09,2.32,5.16,4.13,3.98,4.09,4.26,3.4
b_0,24.93,25.61,22.24,29.83,59.1,29.01,6.67,4.08,6.36,2.48,2.39,4.92,3.74,4.75,4.65,3.4
f_0,66.62,24.17,27.18,30.7,29.55,29.01,7.79,5.29,5.18,5.26,5.72,2.43,4.13,5.51,5.82,2.56
h_0,35.92,30.11,31.14,34.75,30.51,29.86,13.9,8.52,9.11,6.57,5.9,7.01,8.86,5.21,5.13,5.76
a_0,46.38,29.08,36.44,40.03,54.56,73.57,12.45,8.02,10.21,8.73,3.71,7.88,6.11,2.55,5.54,4.53
e_0,81.42,35.38,60.09,45.83,49.77,29.86,11.42,8.86,9.91,8.38,6.57,3.88,5.71,9.05,2.55,4.93
g_0,46.38,45.16,40.77,43.32,38.86,45.78,9.27,9.88,18.22,8.61,7.92,7.76,4.52,6.44,8.12,10.3
