,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,0.66,2.83,2.01,2.29,1.96,1.67,0.89,0.59,0.85,1.31,0.76,0.64,0.62,0.47,0.59,0.53
e_1,1.82,0.67,1.26,2.23,1.99,1.88,1.3,1.19,0.78,0.95,0.92,0.73,0.69,0.65,0.78,1.93
f_1,2.2,2.55,0.66,1.97,1.66,1.96,0.81,0.89,0.69,0.69,0.74,1.33,0.48,0.54,0.69,0.78
c_1,2.36,1.85,2.1,0.65,2.5,1.84,1.14,1.08,1.73,0.5,0.56,0.7,0.65,0.79,0.69,0.84
b_1,2.19,2.27,3.07,1.48,0.63,2.48,0.82,0.88,1.0,1.01,1.66,0.83,0.66,0.75,0.68,0.69
a_1,2.89,2.34,2.82,2.77,1.59,0.57,1.37,1.06,1.05,1.04,1.33,1.06,0.91,0.66,,0.86
h_1,2.78,2.32,2.66,2.27,3.4,2.84,0.59,1.43,0.93,0.88,0.93,1.03,1.39,0.82,0.85,0.88
g_1,3.35,2.6,3.45,2.69,3.02,3.0,0.88,0.56,0.9,1.01,1.02,1.17,0.53,1.05,1.05,0.92
c_0,1.84,2.66,3.67,5.3,3.34,2.71,1.12,1.65,0.66,1.21,1.23,1.02,1.02,0.86,1.17,0.95
d_0,4.88,1.7,3.3,3.28,2.88,2.73,1.4,1.77,1.03,0.68,0.94,1.15,0.89,0.92,1.08,1.01
b_0,2.6,2.53,3.14,5.59,4.18,2.41,1.36,1.19,0.62,1.22,0.63,0.95,0.85,0.82,1.43,0.96
f_0,3.09,2.7,4.87,3.7,3.1,2.63,1.23,1.16,1.25,1.15,1.28,0.62,0.94,0.63,1.09,1.22
h_0,3.21,3.16,3.81,3.11,3.19,2.86,2.76,2.23,1.07,1.31,1.19,1.12,1.57,1.15,0.92,1.12
g_0,3.55,3.36,4.2,3.25,3.38,3.78,1.26,3.27,1.14,1.33,1.25,1.49,0.84,1.57,1.37,1.4
a_0,4.14,3.66,4.04,3.42,4.94,,1.58,1.54,0.98,1.27,0.71,1.09,1.5,1.09,0.57,1.13
e_0,4.16,6.15,4.15,2.88,3.9,3.46,1.54,1.51,1.27,1.44,1.47,0.86,0.87,0.9,1.26,0.57
