,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.17,0.69,0.8,0.67,0.78,0.77,0.18,0.27,0.18,0.14,0.14,0.38,0.08,0.15,0.14,0.12
e_1,0.44,0.17,1.01,0.86,0.88,0.61,0.24,0.37,0.16,0.16,0.15,0.22,0.11,0.15,0.35,0.12
c_1,0.79,0.63,0.16,0.91,0.73,0.88,0.22,0.22,0.09,0.29,0.15,0.13,0.1,0.16,0.16,0.1
d_1,0.76,0.98,0.66,0.15,0.79,0.59,0.2,0.14,0.38,0.14,0.17,0.16,0.12,0.16,0.19,0.08
b_1,0.89,0.79,0.44,0.7,0.14,0.92,0.24,0.22,0.19,0.24,0.46,0.16,0.13,0.14,0.14,0.13
a_1,1.01,0.91,0.81,0.79,0.4,0.09,0.29,0.22,0.15,0.14,0.19,0.14,0.14,0.35,0.13,0.12
h_1,0.67,0.63,0.67,0.56,0.55,0.53,0.06,0.17,0.13,0.12,0.15,0.11,0.22,0.13,0.11,0.1
g_1,0.73,0.61,0.65,0.6,0.61,0.66,0.14,0.05,0.15,0.14,0.12,0.13,0.07,0.19,0.11,0.12
d_0,0.72,0.32,0.66,1.37,0.59,0.76,0.18,0.2,0.07,0.12,0.14,0.11,0.1,0.16,0.11,0.11
c_0,0.64,0.61,1.72,0.31,0.61,0.6,0.18,0.2,0.18,0.07,0.12,0.12,0.11,0.14,0.14,0.09
b_0,0.59,0.55,0.78,0.45,1.61,0.56,0.18,0.16,0.13,0.06,0.06,0.16,0.09,0.11,0.13,0.11
f_0,1.14,0.57,0.68,0.58,0.58,0.55,0.18,0.09,0.11,0.12,0.14,0.05,0.1,0.14,0.11,0.07
h_0,0.6,0.63,0.54,0.54,0.7,0.71,0.27,0.18,0.12,0.12,0.1,0.12,0.13,0.11,0.09,0.07
a_0,0.62,0.58,0.69,0.52,0.64,1.2,0.19,0.14,0.14,0.11,0.06,0.17,0.08,0.04,0.12,0.08
e_0,0.98,1.32,0.56,0.57,0.51,0.59,0.17,0.12,0.13,0.11,0.11,0.05,0.11,0.19,0.04,0.08
g_0,0.62,0.56,0.65,0.58,0.59,0.92,0.12,0.23,0.11,0.12,0.11,0.11,0.06,0.13,0.11,0.14
