,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,2.22,0.03,0.03,0.02,0.02,0.02,0.06,0.04,0.12,0.08,0.07,0.05,0.03,0.07,0.05,
f_1,0.05,2.24,0.03,0.03,0.02,0.02,0.06,0.04,0.05,0.06,0.08,,0.05,0.06,0.06,0.03
d_1,0.03,0.03,2.31,0.02,0.03,0.03,0.07,0.05,,0.13,0.06,0.04,0.05,0.09,0.06,
c_1,0.03,0.03,0.02,2.36,0.05,0.02,0.06,0.06,0.06,,0.04,0.05,0.05,0.1,0.06,0.06
b_1,0.04,0.04,0.03,0.03,2.58,0.03,0.04,0.04,0.06,0.04,,0.08,0.04,0.09,0.04,0.05
a_1,0.02,0.02,0.03,0.03,0.03,3.16,,0.05,0.07,0.08,0.05,0.04,,0.09,0.05,
h_1,0.12,0.15,0.08,0.12,0.11,,2.63,0.24,0.23,0.21,0.22,0.18,0.16,,0.39,0.23
g_1,0.13,0.06,0.14,0.12,0.11,0.1,0.23,2.84,0.19,0.22,0.15,0.41,0.17,0.15,,0.23
d_0,0.11,0.14,,0.27,0.13,0.08,0.33,0.25,2.03,0.19,0.31,0.37,0.23,0.41,0.38,0.19
c_0,0.16,0.14,0.17,,0.1,0.1,0.23,0.3,0.27,2.08,0.48,0.34,0.24,0.4,0.35,0.16
b_0,0.11,0.18,0.13,0.14,,0.12,0.27,0.28,0.31,0.29,2.12,0.3,0.35,0.43,0.41,0.17
f_0,0.13,,0.19,0.18,0.09,0.12,0.27,0.26,0.3,0.18,0.35,2.2,0.19,0.48,0.3,0.46
a_0,0.09,0.18,0.16,0.11,0.1,,0.36,0.21,0.41,0.32,0.26,0.25,2.64,0.22,0.27,
h_0,0.18,0.33,0.23,0.19,0.21,0.14,,0.43,0.46,0.52,0.32,0.18,0.58,,0.84,0.32
g_0,0.25,0.11,0.24,0.15,0.17,0.17,0.27,,0.46,0.59,0.43,0.82,0.46,0.71,,0.28
e_0,,0.13,,0.15,0.16,,0.29,0.22,0.36,0.33,0.36,0.3,,0.61,0.31,2.58
