,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.21,0.92,1.03,0.95,0.87,0.88,0.9,1.05,0.94,0.93,0.94,0.87,0.9,0.89,0.97
e_1,0.83,1.0,0.92,1.15,1.11,1.07,1.04,0.98,1.07,1.34,0.97,1.09,1.07,1.1,1.06,1.1
d_1,1.05,1.08,1.0,0.88,0.89,0.93,0.99,1.25,0.82,1.11,1.12,1.08,1.04,1.02,1.1,0.85
c_1,0.96,0.88,1.13,1.0,1.29,0.91,1.02,0.79,1.01,0.7,0.81,0.97,0.98,0.96,0.93,0.97
b_1,1.08,0.91,1.14,0.77,1.0,1.42,1.06,1.05,1.04,0.94,0.99,0.9,1.07,0.84,0.98,1.06
a_1,1.11,0.96,1.04,1.11,0.73,1.0,1.18,1.08,1.09,1.01,1.28,1.01,1.03,1.15,0.99,1.14
h_1,1.12,0.99,0.99,0.97,0.9,0.84,1.0,0.99,1.18,1.1,1.09,1.05,1.0,0.91,0.95,1.14
c_0,1.1,1.04,0.82,1.23,0.91,0.87,1.02,1.0,0.89,1.13,1.32,1.02,1.02,1.15,1.02,0.95
g_1,0.99,0.91,1.18,1.03,0.98,0.89,0.9,1.05,1.0,0.99,0.92,1.19,0.94,1.07,1.07,1.0
d_0,1.01,0.78,0.89,1.36,1.07,0.98,0.93,0.86,1.02,1.0,0.95,0.97,1.01,1.08,0.9,1.02
b_0,1.04,0.99,0.9,1.2,1.04,0.76,0.89,0.79,1.1,1.09,1.0,0.96,1.03,1.39,1.07,1.14
f_0,1.06,0.93,0.95,1.04,1.1,0.99,1.0,0.99,0.86,0.98,1.08,1.0,1.11,1.09,1.36,0.8
h_0,1.12,0.96,1.0,1.03,0.94,0.89,0.97,1.0,1.1,0.97,0.96,0.92,1.0,0.96,0.96,1.19
a_0,1.08,0.93,0.98,1.06,1.17,0.93,1.13,0.87,1.06,0.95,0.77,0.92,1.05,1.0,0.92,1.04
e_0,1.15,0.94,0.92,1.05,1.01,0.98,1.02,0.89,0.98,1.08,0.96,0.73,1.04,1.01,1.0,1.05
g_0,1.0,0.9,1.16,1.04,0.94,0.88,0.88,1.04,1.04,0.98,0.93,1.24,0.83,0.96,0.96,1.0
