,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.08,2.17,2.13,2.4,2.28,2.01,0.47,0.77,0.49,0.43,0.44,0.56,0.26,0.47,0.5,0.35
e_1,1.66,1.09,2.51,2.7,2.74,2.23,0.75,0.69,0.52,0.48,0.54,0.64,0.38,0.5,0.68,0.4
d_1,2.81,2.6,1.08,2.43,2.44,2.18,0.66,0.46,0.69,0.47,0.51,0.48,0.32,0.46,0.41,0.23
c_1,2.9,2.3,3.73,1.1,2.53,2.67,0.78,0.81,0.36,0.66,0.6,0.58,0.42,0.54,0.48,0.42
b_1,3.58,3.4,3.54,1.77,1.1,3.19,1.01,0.93,0.66,0.82,0.88,0.68,0.5,0.55,0.55,0.48
a_1,5.15,4.59,4.28,3.65,2.26,1.12,1.41,1.34,1.0,1.02,1.06,0.82,0.66,1.43,0.79,0.59
h_1,8.91,8.92,8.42,9.53,8.82,7.41,1.51,2.38,2.19,1.59,1.93,1.83,1.64,1.6,1.73,1.27
g_1,11.88,11.08,11.59,12.93,12.75,9.19,2.57,1.6,2.57,2.15,2.23,2.25,1.45,1.96,1.92,1.95
d_0,11.27,7.82,16.39,12.5,12.63,11.22,3.48,3.51,1.8,2.43,2.78,2.41,2.06,2.66,2.28,2.03
c_0,14.79,13.04,7.25,14.69,11.9,10.68,3.66,3.01,4.32,1.87,2.63,2.02,1.73,2.2,1.96,1.46
b_0,14.91,12.06,11.03,16.55,15.92,12.69,3.41,3.32,3.38,1.61,1.78,2.47,1.93,2.44,2.07,1.85
f_0,20.45,14.31,14.22,15.14,13.65,12.77,4.16,2.67,3.29,2.81,2.95,1.86,2.08,2.38,2.58,1.45
h_0,18.8,17.32,16.63,17.72,16.2,16.24,5.64,5.44,3.98,3.21,3.5,3.12,3.06,3.06,2.77,2.32
a_0,22.01,19.1,19.67,23.9,22.61,24.17,6.38,5.18,5.2,3.24,2.43,3.72,2.46,2.13,3.57,2.61
e_0,28.78,24.89,18.91,20.63,17.7,19.52,5.27,5.62,4.59,3.75,4.17,2.39,3.62,3.25,2.23,2.39
g_0,23.99,20.91,18.91,22.31,19.64,15.98,4.8,6.02,5.08,3.77,4.55,3.82,2.23,4.47,3.23,3.64
