,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,96.19,55.7,62.13,117.11,136.15,339.36,8546.88,13088.44,24144.84,37896.33,36359.22,38772.05,78780.43,114401.76,75802.09,190606.92
f_1,71.16,115.14,51.71,99.34,102.67,312.38,6133.38,10039.79,16915.35,20975.95,21315.25,31691.23,70231.19,83269.7,76715.5,165903.36
d_1,41.86,59.6,118.98,74.32,117.76,332.59,7853.27,10449.86,31060.71,17587.77,34214.95,38509.9,70207.64,82824.13,117245.44,159624.46
c_1,35.77,43.86,53.77,170.78,162.96,270.23,6375.9,8895.01,7901.67,16330.43,28935.49,21638.18,60100.34,77483.74,82944.79,141758.54
b_1,33.16,51.81,44.57,65.07,210.79,432.44,5935.37,8987.31,14581.61,16674.35,28251.89,18901.98,42312.1,85399.07,67905.98,136425.02
a_1,29.26,33.2,34.19,47.57,48.86,489.64,4367.78,6644.85,11414.48,14927.11,20891.48,20764.42,34091.93,64867.77,70647.89,110933.46
h_1,10.59,21.87,15.67,25.03,30.81,82.87,3044.97,3972.99,4999.1,5758.69,7807.73,10392.83,20020.32,23893.36,28231.11,60262.78
g_1,9.83,13.01,19.33,23.27,28.21,61.31,1328.7,4346.14,4577.49,4485.43,11238.61,7727.91,14926.89,23691.44,21304.92,40164.84
c_0,8.06,13.45,12.81,20.06,19.5,64.67,1602.58,2207.47,5571.84,4641.93,7185.75,13028.3,17514.81,23862.26,25438.09,41298.29
d_0,7.53,12.23,9.02,28.62,24.04,45.43,1458.0,2463.46,3381.54,6113.05,6424.25,6709.7,15986.31,22324.41,22884.92,32955.5
f_0,6.69,8.55,11.63,17.33,18.28,52.13,1404.58,1656.14,3727.61,4290.91,8847.67,5849.66,12637.42,17640.6,33402.59,29607.59
b_0,7.26,11.32,10.12,20.46,13.12,45.05,1186.22,1987.7,2854.53,4060.1,6869.7,8772.3,21937.53,17984.61,18277.72,34281.39
a_0,5.76,9.28,8.98,13.23,15.52,29.22,1047.48,1654.75,2476.13,2915.7,4769.81,3928.06,16079.16,14819.48,12436.11,25475.51
h_0,5.57,10.46,8.69,11.03,13.76,37.9,698.56,1763.32,2252.68,2575.99,4191.79,3972.14,8413.24,10673.81,11095.23,26803.91
e_0,4.62,8.56,6.84,11.57,16.66,31.75,856.49,1305.24,2388.06,2655.11,3573.71,4580.74,10337.76,12884.2,20472.59,20639.74
g_0,4.48,5.34,9.04,10.16,11.25,29.91,679.85,919.03,1989.54,2213.24,4971.82,3860.56,7792.7,9754.18,11651.93,16127.21
