,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.19,0.93,0.93,0.84,0.61,0.44,0.45,0.4,0.38,0.38,0.35,0.3,0.33,0.33,0.27
e_1,0.85,1.0,0.87,1.14,0.91,0.7,0.56,0.56,0.45,0.41,0.39,0.43,0.34,0.34,0.34,0.34
d_1,1.08,1.12,1.0,0.88,0.87,0.74,0.52,0.44,0.37,0.54,0.41,0.39,0.36,0.34,0.29,0.33
c_1,1.04,0.91,1.17,1.0,1.12,0.77,0.52,0.32,0.5,0.4,0.34,0.39,0.39,0.33,0.32,0.34
b_1,1.16,1.07,1.12,0.91,1.0,1.19,0.59,0.46,0.51,0.56,0.49,0.39,0.36,0.33,0.39,0.36
a_1,1.63,1.42,1.33,1.28,0.88,1.0,0.77,0.71,0.66,0.68,0.7,0.55,0.54,0.52,0.44,0.46
h_1,2.33,1.85,1.96,1.84,1.68,1.17,1.0,0.78,0.97,0.73,0.7,0.68,0.7,0.59,0.75,0.57
d_0,2.2,1.73,2.35,3.04,2.25,1.43,1.29,1.0,1.1,0.82,0.84,0.88,0.84,0.76,0.84,0.89
g_1,2.44,2.25,2.8,2.0,1.98,1.54,1.03,0.92,1.0,0.98,0.87,1.0,0.69,0.74,0.7,0.72
c_0,2.73,2.43,1.9,2.42,1.84,1.45,1.3,1.2,0.99,1.0,1.19,0.87,0.91,0.96,0.81,0.8
b_0,2.71,2.55,2.41,2.73,2.14,1.4,1.42,1.17,1.13,0.88,1.0,0.97,0.96,1.18,0.84,0.75
f_0,2.89,2.27,2.56,2.47,2.62,1.79,1.43,1.16,1.01,1.1,1.03,1.0,0.96,0.9,0.71,1.18
h_0,3.27,2.85,2.79,2.59,2.65,1.93,1.42,1.14,1.47,1.1,1.06,1.05,1.0,0.93,0.97,0.82
a_0,3.18,2.78,2.83,3.23,3.02,1.96,1.75,1.31,1.29,1.09,0.87,1.07,1.11,1.0,0.97,0.87
g_0,2.97,2.98,3.37,3.05,2.73,2.19,1.38,1.21,1.42,1.22,1.16,1.4,1.02,1.02,1.0,1.07
e_0,3.64,3.0,3.1,2.91,2.71,2.16,1.71,1.19,1.44,1.24,1.23,0.87,1.2,1.16,0.95,1.0
