,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.41,1.03,1.32,1.66,4.53,15.08,26.47,33.98,35.45,43.53,41.45,69.59,87.92,116.62,104.16
e_1,0.72,1.0,0.98,1.43,1.73,3.74,17.88,28.31,33.07,43.61,42.19,58.15,75.15,87.86,98.73,114.41
d_1,0.95,1.01,1.0,0.98,1.68,3.04,15.39,34.57,23.49,27.98,42.72,41.02,71.48,74.49,76.34,113.21
c_1,0.77,0.71,1.02,1.0,2.05,3.2,15.1,21.89,23.92,19.63,31.65,36.65,61.13,64.58,81.32,90.16
b_1,0.59,0.58,0.59,0.5,1.0,3.15,10.49,18.61,17.08,17.4,28.04,27.02,46.19,44.34,56.83,61.84
a_1,0.22,0.27,0.33,0.31,0.32,1.0,4.4,7.53,9.43,8.41,12.67,12.3,22.33,28.93,30.04,32.75
h_1,0.06,0.06,0.07,0.07,0.09,0.22,1.0,1.53,2.07,1.9,2.69,2.34,4.42,4.67,7.05,7.27
c_0,0.04,0.04,0.03,0.05,0.05,0.13,0.65,1.0,1.17,1.43,2.22,1.72,2.85,3.71,3.48,4.19
g_1,0.03,0.03,0.04,0.04,0.05,0.11,0.48,0.84,1.0,0.93,1.34,1.69,1.85,2.98,2.81,3.96
d_0,0.03,0.02,0.04,0.05,0.06,0.11,0.54,0.69,1.09,1.0,1.35,1.49,2.4,2.87,3.27,3.77
b_0,0.02,0.02,0.02,0.03,0.04,0.08,0.39,0.46,0.72,0.72,1.0,1.08,1.76,3.1,2.34,2.56
f_0,0.02,0.02,0.02,0.03,0.04,0.08,0.44,0.57,0.57,0.64,0.9,1.0,1.51,2.09,1.65,3.79
h_0,0.01,0.01,0.01,0.02,0.02,0.05,0.23,0.34,0.55,0.42,0.55,0.62,0.99,1.17,1.49,1.34
a_0,0.01,0.01,0.01,0.02,0.02,0.04,0.23,0.28,0.31,0.35,0.34,0.5,0.87,1.0,1.06,1.49
g_0,0.01,0.01,0.01,0.01,0.02,0.03,0.14,0.29,0.36,0.31,0.43,0.63,0.67,0.91,1.0,1.32
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.14,0.24,0.23,0.25,0.36,0.27,0.72,0.77,0.76,1.0
