,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.09,1.52,2.27,2.29,2.28,2.14,0.59,0.51,0.73,0.47,0.47,0.62,0.41,0.33,0.56,0.35
f_1,2.27,1.09,2.22,2.42,2.28,1.78,0.5,0.56,0.74,0.46,0.43,0.66,0.49,0.28,0.44,0.37
d_1,2.82,2.72,1.08,2.66,2.39,2.46,0.72,0.75,0.46,0.49,0.54,0.43,0.52,0.3,0.4,0.23
c_1,2.19,2.74,3.47,1.1,2.48,2.41,0.8,0.33,0.76,0.66,0.49,0.5,0.54,0.39,0.5,0.36
b_1,2.91,3.85,3.77,1.82,1.11,2.69,0.92,0.61,0.88,0.94,0.79,0.55,0.66,0.51,0.61,0.41
a_1,4.6,5.1,5.42,4.15,2.41,1.12,1.6,1.03,1.62,1.09,1.27,0.89,1.2,0.82,0.76,0.77
h_1,9.09,9.08,8.45,9.23,8.86,7.52,1.5,2.08,2.34,1.87,1.59,1.76,1.66,1.63,1.59,1.26
d_0,7.95,11.19,16.49,13.33,12.59,12.83,3.93,1.84,4.11,2.43,2.55,2.35,2.55,1.93,2.84,2.07
g_1,11.15,12.99,10.95,13.11,12.04,11.71,2.89,2.67,1.54,2.4,2.24,2.2,2.65,1.27,2.37,2.22
c_0,13.91,14.32,7.82,18.79,13.98,12.83,4.09,3.84,3.17,1.75,2.66,2.46,2.6,1.8,2.5,1.79
b_0,12.75,14.79,11.68,19.96,20.76,14.19,4.57,2.98,3.44,1.7,1.95,2.56,3.04,2.22,2.31,2.16
f_0,13.71,23.84,15.08,16.07,15.12,13.67,4.8,3.54,2.84,3.18,3.29,1.98,2.99,2.21,3.16,1.5
a_0,19.03,17.68,16.82,18.68,22.99,23.41,5.29,4.05,4.74,3.28,2.14,3.63,2.0,2.59,3.33,2.78
h_0,19.12,19.28,19.11,18.9,20.16,19.51,6.78,4.29,5.33,3.78,3.78,3.75,3.59,3.23,3.33,2.67
e_0,26.94,27.66,18.89,20.86,18.3,17.34,5.83,5.13,4.58,4.78,4.25,2.32,3.82,2.98,2.23,2.38
g_0,21.98,25.7,23.52,22.16,25.52,23.71,5.42,6.04,7.39,4.7,4.95,4.06,5.4,2.59,4.17,4.19
