,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.94,0.66,0.38,0.37,0.36,0.25,0.28,0.24,0.28,0.23,0.15,0.22,0.22,0.14,0.19,0.17
e_1,0.43,0.94,0.51,0.38,0.34,0.28,0.27,0.23,0.43,0.25,0.29,0.24,0.24,0.15,0.19,0.21
c_1,0.46,0.37,0.94,0.43,0.6,0.2,0.3,0.25,0.23,0.15,0.25,0.17,0.27,0.2,0.17,0.23
d_1,0.52,0.42,0.37,0.95,0.38,0.22,0.29,0.22,0.21,0.44,0.26,0.23,0.27,0.19,0.16,0.22
b_1,0.46,0.45,0.41,0.41,0.94,0.53,0.32,0.23,0.26,0.27,0.24,0.16,0.24,0.19,0.18,0.2
a_1,0.54,0.56,0.61,0.53,0.31,0.94,0.32,0.31,0.3,0.23,0.33,0.36,0.31,0.27,0.14,0.21
h_1,0.86,0.66,0.64,0.66,0.51,0.39,0.74,0.5,0.41,0.38,0.38,0.34,0.29,0.31,0.24,0.39
g_1,0.67,0.61,0.66,1.05,0.61,0.42,0.38,0.74,0.4,0.43,0.6,0.39,0.34,0.28,0.31,0.25
d_0,0.71,0.65,1.15,0.41,0.65,0.48,0.44,0.42,0.62,0.33,0.44,0.39,0.42,0.29,0.34,0.34
c_0,0.88,0.75,0.67,0.68,0.45,0.48,0.46,0.42,0.5,0.64,0.43,0.71,0.48,0.33,0.36,0.42
f_0,0.59,0.61,0.84,0.81,0.71,0.45,0.48,0.35,0.51,0.44,0.67,0.45,0.46,0.52,0.29,0.3
b_0,0.81,0.77,0.8,0.88,0.41,0.33,0.5,0.5,0.48,0.39,0.42,0.65,0.52,0.31,0.58,0.36
h_0,1.01,0.79,0.8,0.81,0.68,0.43,0.43,0.62,0.5,0.46,0.44,0.41,0.38,0.33,0.38,0.45
e_0,1.01,0.51,0.83,0.88,0.72,0.51,0.51,0.53,0.51,0.56,0.45,0.58,0.54,0.62,0.41,0.39
a_0,0.84,0.77,0.93,0.98,0.67,0.37,0.64,0.49,0.5,0.49,0.46,0.39,0.51,0.3,0.61,0.46
g_0,0.77,0.78,0.75,1.1,0.78,0.5,0.48,0.4,0.47,0.5,0.73,0.49,0.49,0.43,0.36,0.32
