,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.0,0.7,0.98,1.33,0.97,0.85,0.83,0.96,0.69,0.58,0.75,0.72,0.62,0.66,0.52,0.63
f_1,1.43,1.0,0.86,0.87,0.88,0.68,0.58,0.69,0.69,0.68,0.61,0.54,0.53,0.43,0.65,0.56
d_1,1.02,1.16,1.0,0.92,0.95,0.8,0.7,0.65,0.59,0.87,0.63,0.71,0.59,0.62,0.54,0.45
c_1,0.76,1.13,1.09,1.0,1.37,0.84,0.72,0.49,0.63,0.54,0.62,0.5,0.62,0.54,0.48,0.62
b_1,1.01,1.15,1.05,0.73,1.0,1.46,0.77,0.71,0.69,0.81,0.65,0.74,0.7,0.65,0.54,0.63
a_1,1.17,1.46,1.23,1.2,0.7,1.0,0.85,0.84,0.83,0.66,0.67,0.91,0.77,0.79,0.83,0.69
h_1,1.28,1.68,1.45,1.33,1.27,1.21,1.0,0.84,1.23,0.91,0.89,0.84,0.76,0.77,0.77,0.99
d_0,1.04,1.38,1.5,2.04,1.46,1.2,1.16,1.0,1.18,0.76,1.01,0.97,0.85,0.9,0.96,0.97
g_1,1.48,1.42,1.77,1.59,1.41,1.3,0.83,0.83,1.0,0.97,1.22,0.78,0.73,0.74,0.74,0.85
c_0,1.7,1.45,1.18,1.78,1.15,1.64,1.15,1.31,1.04,1.0,0.99,1.3,0.91,0.83,0.94,0.92
f_0,1.3,1.61,1.67,1.63,1.56,1.32,1.13,0.99,0.88,0.97,1.0,1.0,0.89,1.32,0.96,0.71
b_0,1.44,1.76,1.36,2.09,1.31,1.05,1.17,1.0,1.29,0.73,0.96,1.0,0.95,1.0,1.32,0.98
h_0,1.6,1.85,1.7,1.65,1.42,1.31,1.31,1.16,1.41,1.04,1.1,1.08,1.0,0.82,0.94,1.11
e_0,1.65,2.28,1.6,1.81,1.41,1.37,1.35,1.2,1.34,1.19,0.76,1.02,1.26,1.0,1.27,1.03
a_0,1.89,1.62,1.81,2.07,1.79,1.26,1.29,1.09,1.36,1.11,1.0,0.76,1.07,0.76,1.0,0.92
g_0,1.61,1.82,2.15,1.63,1.61,1.44,1.02,1.06,1.22,1.17,1.43,1.0,0.91,0.92,1.12,1.0
