,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,2.32,0.43,0.95,0.49,0.36,0.32,0.82,0.6,0.97,0.75,0.31,0.84,1.09,1.04,0.76,0.45
d_1,0.59,2.35,0.47,0.38,0.43,0.27,0.82,0.89,0.5,1.87,1.12,1.24,1.42,1.18,0.88,0.82
e_1,0.52,0.4,2.34,0.52,0.47,0.42,0.89,0.79,1.78,0.99,1.02,1.03,1.4,1.18,0.76,0.41
c_1,0.52,0.49,0.43,2.4,0.9,0.25,0.86,0.68,0.92,0.27,0.82,0.72,1.2,1.11,0.75,0.83
b_1,0.53,0.48,0.43,0.51,2.51,0.69,0.97,0.74,0.91,0.97,0.96,0.39,1.1,1.17,0.6,0.88
a_1,0.53,0.58,0.41,0.53,0.38,3.1,0.87,0.88,1.05,1.01,1.19,1.04,1.22,1.03,0.2,0.77
h_1,0.8,0.58,0.51,0.77,0.52,0.35,2.99,1.2,1.21,1.14,1.03,1.27,0.72,2.04,0.9,1.23
g_1,0.49,0.96,0.54,0.62,0.42,0.48,0.85,3.23,0.95,1.34,1.76,1.21,1.36,0.67,0.7,1.12
d_0,0.57,0.38,0.59,1.12,0.55,0.42,1.22,1.09,2.46,0.92,0.91,1.12,1.32,1.29,1.18,0.88
c_0,0.58,0.69,0.56,0.33,0.48,0.55,1.21,1.2,1.39,2.61,1.53,2.37,1.82,1.45,1.27,1.28
f_0,0.32,0.81,0.46,0.61,0.62,0.51,1.21,1.36,1.23,1.38,2.8,1.43,1.67,1.48,1.15,2.14
b_0,0.66,0.75,0.49,0.76,0.25,0.39,1.21,0.85,1.3,1.12,1.26,2.6,1.73,1.53,2.12,1.18
h_0,0.84,0.72,0.58,0.58,0.57,0.41,0.62,1.25,1.1,1.15,1.37,1.28,0.87,1.84,0.99,0.88
g_0,0.49,0.96,0.57,0.62,0.48,0.46,1.21,0.68,1.18,1.31,1.93,1.35,1.21,0.75,1.14,1.07
a_0,0.59,0.74,0.59,0.61,0.53,0.27,1.4,0.89,1.25,0.98,1.35,1.1,1.8,1.8,3.09,0.68
e_0,0.54,0.79,0.26,0.64,0.6,0.45,1.5,1.26,1.22,1.1,1.25,1.52,1.87,1.81,1.23,3.15
