,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.21,0.92,0.88,0.84,0.63,0.42,0.44,0.44,0.38,0.38,0.37,0.3,0.3,0.24,0.32
e_1,0.84,1.0,1.19,0.9,0.9,0.7,0.52,0.51,0.58,0.41,0.41,0.44,0.36,0.32,0.33,0.36
c_1,1.03,0.85,1.0,1.16,1.17,0.78,0.52,0.45,0.33,0.36,0.34,0.37,0.36,0.33,0.35,0.34
d_1,1.11,1.11,0.88,1.0,0.94,0.7,0.51,0.36,0.42,0.56,0.46,0.41,0.37,0.39,0.35,0.28
b_1,1.19,1.08,0.88,1.04,1.0,1.13,0.56,0.52,0.45,0.55,0.47,0.44,0.39,0.37,0.37,0.35
a_1,1.63,1.42,1.32,1.44,0.91,1.0,0.81,0.6,0.59,0.55,0.64,0.48,0.49,0.44,0.42,0.39
h_1,2.35,1.96,1.97,1.93,1.71,1.22,1.0,1.0,0.85,0.81,0.79,0.7,0.75,0.66,0.66,0.77
g_1,2.26,2.06,2.2,2.75,1.94,1.68,1.01,1.0,0.91,0.94,0.9,1.05,0.74,0.87,0.82,0.72
d_0,2.24,1.76,3.14,2.35,2.24,1.65,1.14,1.13,1.0,0.79,0.89,0.85,0.94,0.79,0.76,0.89
c_0,2.61,2.57,2.48,1.84,1.87,1.81,1.25,1.04,1.21,1.0,1.24,0.92,0.9,0.94,0.88,0.72
b_0,2.67,2.51,2.92,2.18,2.07,1.6,1.29,1.1,1.07,0.79,1.0,0.95,0.97,1.08,0.79,0.84
f_0,2.64,2.26,2.76,2.43,2.27,2.01,1.45,0.95,1.17,1.08,1.02,1.0,0.93,0.87,1.14,0.75
h_0,3.22,2.84,2.79,2.74,2.59,1.93,1.32,1.38,1.06,1.09,1.01,1.1,1.0,0.93,0.8,0.96
a_0,3.26,3.08,2.95,2.62,2.81,2.13,1.54,1.13,1.14,1.13,0.94,1.17,1.02,1.0,0.88,0.92
e_0,3.87,3.1,2.87,2.83,2.83,2.24,1.52,1.25,1.32,1.14,1.26,0.91,1.32,1.14,1.0,0.97
g_0,3.08,2.86,3.01,3.51,2.85,2.37,1.34,1.43,1.12,1.33,1.19,1.37,1.0,1.06,1.01,1.0
