,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,34.37,0.13,0.06,0.07,0.07,0.08,0.3,0.41,0.25,0.32,,0.37,0.54,0.38,0.31,0.57
e_1,0.07,35.26,0.07,0.05,0.06,0.07,0.22,0.71,0.32,0.38,0.32,0.4,0.74,,0.4,0.35
c_1,0.07,0.06,41.65,0.06,0.13,0.09,0.33,0.38,0.26,,0.38,0.32,0.64,,0.36,0.77
d_1,0.06,0.07,0.07,43.02,0.06,0.07,0.36,,0.33,0.69,0.49,0.25,0.47,0.39,0.43,0.55
b_1,0.07,0.06,0.07,0.08,51.92,0.12,0.27,0.41,0.23,0.3,0.31,,0.72,0.33,0.39,0.6
a_1,0.07,0.06,0.1,0.06,0.07,69.94,0.28,0.49,0.25,,0.3,0.34,0.63,0.47,,0.58
h_1,0.43,0.17,0.33,0.21,0.29,0.21,29.53,1.29,1.67,2.1,0.9,1.3,,1.14,1.78,2.55
d_0,0.42,0.34,0.51,,0.38,0.31,1.58,17.56,1.23,2.1,2.49,1.42,3.32,1.31,2.03,3.24
g_1,0.28,0.17,0.17,0.48,0.21,0.26,0.98,1.35,35.81,0.96,2.65,1.44,1.75,2.26,1.61,
c_0,0.33,0.4,,0.45,0.3,0.29,1.52,1.37,1.39,18.26,2.9,4.17,2.8,2.17,2.3,2.08
f_0,,0.35,0.35,0.33,0.36,0.33,1.56,1.78,1.28,2.3,20.9,2.03,3.8,4.11,,3.5
b_0,0.31,0.4,0.48,0.25,,,1.61,1.84,1.87,2.23,1.96,20.72,3.73,1.67,3.29,2.77
h_0,0.77,0.47,0.58,0.54,0.68,0.48,,2.86,3.22,3.03,2.7,4.12,,2.52,2.04,4.77
e_0,0.24,,0.27,0.47,,0.52,1.71,2.73,,2.45,1.7,2.77,3.04,33.98,,3.98
a_0,0.41,0.24,0.33,0.34,0.29,,1.62,2.07,1.28,2.45,,2.09,2.71,2.65,35.12,3.77
g_0,0.33,0.5,0.46,0.97,0.74,0.53,2.83,1.87,,3.39,4.75,2.82,4.31,3.54,,
