,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,5.76,0.7,0.5,0.6,0.46,0.52,2.19,2.0,5.35,3.3,3.15,2.94,2.65,4.03,4.18,1.43
f_1,1.0,5.85,0.68,0.59,0.49,0.58,2.41,1.91,2.5,2.31,3.34,0.77,2.93,3.29,4.5,1.93
d_1,0.57,0.63,6.25,0.47,0.64,0.66,2.35,2.12,0.54,5.89,3.3,2.67,3.01,4.79,3.86,2.18
c_1,0.6,0.66,0.51,6.47,1.16,0.4,2.07,2.08,2.67,0.5,1.96,2.98,2.6,5.11,4.01,3.45
b_1,0.65,0.66,0.65,0.57,7.76,1.04,1.77,1.85,2.53,2.01,0.34,3.36,2.39,4.31,3.33,2.83
a_1,0.49,0.51,0.64,0.7,0.58,11.54,2.4,2.18,2.91,3.32,2.83,2.33,0.64,5.18,3.95,4.42
h_1,0.99,1.4,0.92,1.12,1.07,0.63,14.65,4.68,4.75,4.43,5.58,5.7,4.48,3.32,9.13,6.54
g_1,0.96,0.59,1.6,1.26,0.97,1.09,4.09,16.74,3.76,4.88,4.46,8.44,4.12,5.21,3.65,5.96
d_0,0.94,1.03,0.46,2.27,0.94,0.95,3.63,4.14,13.74,3.94,4.9,6.03,3.68,7.36,7.68,6.51
c_0,1.07,1.26,1.33,0.45,0.8,1.17,3.33,4.19,4.43,14.04,9.28,6.76,6.11,8.12,9.05,4.77
b_0,0.94,1.24,0.94,1.11,0.4,1.3,3.69,4.89,5.37,4.95,15.8,6.52,10.23,8.5,8.69,5.58
f_0,0.86,0.4,1.28,1.33,0.73,1.17,5.1,5.2,6.03,4.53,5.95,15.88,6.38,9.34,8.32,13.82
a_0,0.9,1.19,1.46,1.13,0.89,,4.86,4.49,5.72,4.68,6.39,5.2,20.89,5.69,9.3,6.81
h_0,0.83,1.58,1.23,1.04,1.03,1.1,1.4,4.69,4.22,4.82,4.53,3.48,6.2,2.94,11.05,5.04
g_0,1.09,0.8,1.59,0.88,1.11,1.11,2.88,2.59,5.44,5.13,4.52,9.09,5.54,8.91,4.04,5.63
e_0,0.24,1.42,1.08,1.21,1.45,1.09,3.77,4.4,6.51,5.11,5.58,5.47,3.82,9.41,7.79,23.8
