,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,1.0,0.78,1.12,0.87,0.89,0.75,0.54,0.62,0.48,0.41,0.44,0.38,0.38,0.33,0.33,0.33
f_1,1.28,1.0,0.97,0.83,0.9,0.76,0.43,0.43,0.41,0.41,0.31,0.34,0.27,0.29,0.32,0.25
c_1,0.89,1.03,1.0,1.13,1.3,0.77,0.48,0.33,0.43,0.37,0.4,0.35,0.41,0.33,0.37,0.3
d_1,1.14,1.21,0.88,1.0,0.91,0.68,0.52,0.52,0.39,0.58,0.41,0.47,0.39,0.33,0.3,0.3
b_1,1.12,1.1,0.77,1.1,1.0,1.23,0.6,0.47,0.56,0.47,0.48,0.45,0.4,0.35,0.31,0.31
a_1,1.34,1.31,1.29,1.48,0.82,1.0,0.68,0.65,0.61,0.6,0.61,0.71,0.48,0.44,0.48,0.58
h_1,1.91,2.41,2.04,1.91,1.62,1.47,1.0,0.81,1.0,0.72,0.72,0.68,0.65,0.64,0.69,0.57
d_0,1.6,2.25,3.13,2.01,2.21,1.49,1.21,1.0,0.98,0.7,0.85,0.75,0.8,0.74,0.72,0.71
g_1,2.24,2.32,2.35,2.66,1.8,1.59,1.02,1.04,1.0,0.91,1.08,0.81,0.69,0.76,0.67,0.66
c_0,2.58,2.45,2.54,1.74,1.99,1.66,1.38,1.48,1.1,1.0,0.96,1.24,0.79,0.87,0.74,0.72
f_0,2.28,3.04,2.57,2.4,2.27,1.65,1.37,1.12,0.87,1.0,1.0,1.04,0.94,0.83,0.64,1.2
b_0,2.8,2.8,2.76,2.08,2.18,1.53,1.45,1.31,1.25,0.8,0.94,1.0,0.88,1.2,0.73,0.8
h_0,2.72,3.55,2.34,2.62,2.54,2.04,1.56,1.27,1.44,1.24,1.03,1.13,1.0,0.93,1.07,0.8
a_0,3.07,3.15,3.09,2.86,2.98,2.14,1.57,1.32,1.25,1.17,1.09,0.87,1.05,1.0,0.97,0.9
g_0,3.03,2.94,2.69,3.43,3.07,2.1,1.47,1.41,1.49,1.33,1.54,1.28,0.88,1.05,1.0,1.03
e_0,3.19,3.76,3.49,3.34,3.18,1.91,1.67,1.42,1.6,1.42,0.84,1.24,1.24,1.1,0.96,1.01
