,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.13,2.98,5.66,5.43,5.44,5.26,1.64,1.48,1.05,1.04,1.39,1.04,0.79,1.07,3.03,0.83
f_1,4.68,1.12,4.58,5.18,5.16,5.85,1.05,1.88,1.05,0.95,2.36,0.87,0.54,1.06,0.93,1.0
d_1,6.18,6.49,1.12,6.46,5.7,4.76,1.42,0.93,2.99,0.86,0.88,1.09,0.67,0.94,0.91,0.42
c_1,4.91,5.61,7.08,1.13,6.46,4.32,1.69,1.86,0.62,2.61,1.14,1.27,0.81,0.9,1.14,0.87
b_1,7.02,9.15,8.04,3.34,1.14,6.8,1.97,2.15,1.42,2.73,1.43,3.64,1.06,1.55,1.33,1.39
a_1,9.05,10.73,11.02,12.65,4.45,1.15,4.29,3.0,2.29,1.94,2.16,2.7,1.85,4.68,3.66,1.5
h_1,17.55,20.39,17.05,18.71,20.16,16.89,1.78,5.27,3.98,3.74,4.1,3.8,6.54,3.28,3.01,2.4
g_1,22.47,25.52,19.36,21.05,19.72,22.38,3.86,1.81,6.26,4.98,4.1,4.68,2.26,5.27,3.94,5.25
d_0,12.8,21.98,58.08,23.7,20.93,20.26,7.25,7.13,2.47,4.87,4.54,4.72,4.62,4.25,4.51,3.85
c_0,27.3,24.82,12.2,58.18,25.43,22.13,7.75,7.2,7.3,2.28,6.16,5.32,3.22,4.4,3.89,3.85
f_0,23.93,56.14,25.57,26.89,24.29,24.06,7.9,4.9,6.15,4.79,2.23,6.24,4.38,4.56,5.36,2.27
b_0,29.02,26.44,17.66,39.02,73.54,31.05,7.39,9.54,6.26,2.83,4.95,2.35,4.57,5.94,4.25,3.31
h_0,36.13,33.79,30.33,35.56,33.59,31.05,15.65,11.03,7.06,7.22,7.29,6.24,8.33,5.84,5.87,4.6
a_0,36.85,44.5,30.87,36.78,46.91,101.32,10.78,10.54,10.06,8.72,9.08,3.99,6.54,2.79,10.57,5.17
e_0,55.83,52.88,34.97,35.96,40.01,38.5,10.64,9.05,7.9,8.72,3.72,9.87,6.85,8.9,2.57,5.02
g_0,44.94,42.43,38.94,50.79,48.59,39.29,10.23,15.69,9.62,8.16,9.55,8.9,4.94,11.33,9.02,11.03
