,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.48,0.42,0.46,0.48,0.45,0.33,0.53,0.49,0.97,0.56,0.53,0.58,0.53,0.45,0.68,0.26
f_1,0.79,1.49,0.44,0.42,0.37,0.4,0.44,0.42,0.53,0.52,0.57,0.19,0.51,0.43,0.47,0.42
d_1,0.5,0.53,1.54,0.44,0.36,0.42,0.61,0.46,0.25,0.93,0.5,0.52,0.65,0.47,0.49,0.4
c_1,0.46,0.45,0.45,1.55,0.77,0.31,0.59,0.5,0.54,0.25,0.4,0.59,0.63,0.42,0.46,0.46
b_1,0.48,0.59,0.54,0.36,1.61,0.6,0.55,0.63,0.44,0.59,0.25,0.59,0.54,0.42,0.42,0.47
a_1,0.51,0.49,0.52,0.56,0.41,1.77,0.68,0.53,0.59,0.57,0.57,0.67,0.73,,0.52,0.45
h_1,0.66,1.15,0.7,0.69,0.59,0.43,1.68,0.96,0.93,0.81,0.9,0.79,0.67,0.71,0.88,0.67
g_1,0.74,0.78,1.04,0.78,0.55,0.58,0.79,1.75,0.75,0.62,0.85,1.09,0.91,0.77,0.64,0.66
d_0,0.55,0.82,0.47,1.28,0.84,0.59,0.8,0.81,1.48,0.82,0.92,0.73,1.04,0.82,0.92,0.68
c_0,0.85,0.95,0.68,0.54,0.6,0.57,0.89,0.92,1.04,1.53,1.61,0.71,1.18,0.8,1.0,0.83
b_0,0.79,0.86,0.88,1.06,0.28,0.4,0.98,0.93,0.85,0.69,1.56,0.84,0.98,1.37,0.91,0.77
f_0,0.72,0.48,0.89,0.91,0.72,0.56,0.94,0.88,1.12,1.08,1.0,1.6,1.05,0.86,0.94,1.44
h_0,0.82,1.13,0.82,0.81,0.73,0.54,0.43,1.01,0.73,0.74,0.94,0.87,0.53,0.72,1.38,0.68
a_0,0.84,0.86,0.74,1.09,0.7,,1.0,0.84,1.17,1.07,0.82,0.73,1.17,1.69,1.08,0.68
g_0,0.61,1.06,1.17,0.78,0.74,0.65,0.83,0.7,0.81,0.79,1.14,1.17,0.85,0.87,0.73,0.83
e_0,0.48,0.94,0.95,0.84,0.78,0.73,1.28,0.8,1.3,1.01,1.2,0.82,1.12,1.07,1.12,1.71
