,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,92.64,50.64,56.44,107.56,149.21,274.81,7604.98,25536.0,17070.17,17696.05,25162.41,34170.46,120207.11,132900.29,94187.71,155051.43
f_1,61.72,107.7,61.54,87.78,99.26,238.33,7641.02,13302.07,16184.19,14020.82,22955.73,16996.27,76353.87,95339.47,102207.54,175377.2
d_1,41.68,49.39,137.7,56.76,118.45,255.27,6495.82,6372.72,22523.53,12553.03,19345.09,24813.45,86117.15,101649.6,97083.92,122889.82
c_1,31.92,37.35,61.29,164.98,179.39,212.73,5402.84,10060.42,5429.45,11468.17,16809.31,20871.23,76266.47,68697.58,106862.62,118409.81
b_1,24.59,42.19,48.27,56.31,231.68,348.18,5249.25,11580.81,12218.9,14193.23,13308.88,20550.66,68496.21,74596.76,89710.0,96892.31
a_1,24.71,34.85,39.14,50.61,51.58,448.18,4994.2,9199.56,7546.13,6379.15,12021.88,14016.63,51556.02,39753.86,76341.99,99692.54
h_1,10.15,16.09,19.05,20.14,29.8,58.63,3195.95,3629.92,4123.25,4781.53,6067.67,6834.6,16699.3,26600.25,22697.35,45105.32
d_0,7.79,11.31,11.87,28.66,28.96,56.3,1412.92,4340.17,2788.86,3380.6,4218.29,5900.42,22465.69,21396.35,24244.22,32718.48
c_0,9.06,12.1,13.97,13.88,20.74,70.28,1817.16,2656.08,4803.26,3208.8,6860.97,5949.25,19115.58,23500.12,26824.45,32431.97
g_1,6.46,8.86,22.04,16.83,19.46,63.73,1421.9,2540.26,3044.19,5863.07,4147.46,7570.97,16360.38,16730.43,26939.88,23169.55
b_0,7.75,9.97,13.73,16.02,15.15,50.57,1482.22,2939.61,2799.14,3056.35,6078.45,5566.97,18982.05,34030.81,24102.15,31212.34
f_0,5.79,6.8,13.66,17.72,20.49,55.85,1406.32,2658.23,3031.45,2863.06,3999.07,7475.31,19594.27,19686.58,37077.63,26329.61
h_0,4.78,8.47,8.27,11.58,15.36,32.83,852.03,1914.29,2109.04,2622.05,2523.62,3454.09,8813.61,11707.45,15154.89,21696.03
a_0,4.46,6.7,8.39,10.56,13.35,15.92,941.61,1566.95,1792.56,2238.77,1934.82,3674.36,11348.25,20863.57,13268.05,18277.92
e_0,2.35,6.19,8.91,8.56,15.25,31.63,1029.06,1557.44,1784.75,1791.75,2918.62,2941.96,11555.16,12194.05,23430.56,18284.41
g_0,3.97,4.29,10.01,8.52,14.79,24.89,748.27,1300.0,1764.52,1407.06,2409.15,4073.51,8628.31,13415.37,13743.71,12990.94
