,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.5,0.75,0.53,0.84,0.59,0.48,0.93,0.73,1.66,0.93,1.04,0.83,0.97,1.2,0.48,0.87
f_1,1.11,2.48,0.69,0.59,0.56,0.62,0.85,0.88,0.79,0.76,0.89,0.35,0.88,0.8,0.61,0.84
d_1,0.62,0.7,2.75,0.53,0.6,0.76,0.85,1.07,0.42,1.78,1.11,0.97,0.99,0.79,1.18,1.03
c_1,0.56,0.64,0.61,2.9,1.28,0.56,0.81,0.85,0.91,0.36,0.6,0.98,0.95,0.89,1.04,0.85
b_1,0.64,0.64,0.72,0.63,3.18,1.19,0.81,0.81,0.82,0.86,0.53,1.0,0.97,0.67,0.78,0.84
a_1,0.65,0.71,0.75,0.58,0.51,4.94,1.11,0.89,0.91,1.0,1.08,1.24,1.09,0.51,1.15,0.95
h_1,0.74,1.13,0.9,0.72,0.71,0.69,2.88,1.36,0.95,1.04,1.11,1.09,0.64,0.9,0.95,1.55
g_1,0.61,0.65,1.33,0.79,0.75,0.67,1.06,3.09,1.01,1.22,1.46,1.83,1.09,1.14,1.24,1.03
d_0,0.72,0.87,0.38,1.6,0.78,0.59,1.38,1.1,2.1,0.62,0.96,1.34,1.13,1.28,1.16,1.29
c_0,0.82,0.94,0.81,0.64,0.49,0.66,1.27,1.26,1.24,2.03,2.15,1.33,1.26,1.66,1.3,1.48
b_0,0.85,0.87,0.81,0.85,0.41,0.66,1.29,1.18,1.21,1.06,2.32,1.13,1.25,2.67,1.22,1.3
f_0,0.59,0.59,0.9,0.93,0.88,0.68,0.96,1.14,1.22,1.12,1.3,2.74,1.47,1.22,3.13,1.31
h_0,0.7,1.01,0.89,0.86,0.77,0.73,0.86,1.22,1.08,1.12,1.06,1.26,0.79,1.26,1.24,1.88
a_0,0.68,0.95,0.82,0.92,0.82,0.38,1.28,1.02,1.03,1.02,1.33,1.05,1.33,3.08,1.16,1.12
e_0,0.5,0.74,1.02,0.91,0.9,0.72,1.09,1.25,1.34,1.27,1.28,1.38,1.33,1.01,3.35,1.45
g_0,0.61,0.6,1.4,0.81,0.77,0.74,1.26,0.88,0.84,1.1,0.85,2.0,1.12,1.13,1.42,1.01
