,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,1.09,1.46,2.49,2.61,2.24,2.13,0.69,0.8,0.54,0.51,0.49,0.72,0.49,0.34,0.58,0.34
f_1,2.35,1.09,2.59,2.72,2.48,2.24,0.53,0.74,0.52,0.54,0.53,0.69,0.46,0.27,0.43,0.44
c_1,2.17,2.62,1.1,2.85,2.76,2.55,0.79,0.74,0.33,0.56,0.68,0.56,0.53,0.37,0.48,0.35
d_1,3.15,2.64,2.73,1.08,2.8,2.31,0.68,0.49,0.87,0.56,0.52,0.53,0.49,0.34,0.45,0.26
b_1,3.17,3.34,1.93,3.15,1.1,2.97,0.86,0.95,0.56,0.92,0.81,0.56,0.54,0.46,0.68,0.46
a_1,3.82,4.31,3.58,3.9,2.16,1.11,1.39,1.27,0.92,1.18,0.9,0.94,1.19,0.61,1.11,0.62
h_1,9.2,11.92,8.75,8.38,8.77,7.16,1.56,2.53,2.14,2.01,1.93,1.89,1.88,1.69,1.83,1.5
g_1,12.75,11.67,11.06,10.48,11.77,8.9,2.69,1.55,2.55,2.41,2.34,2.33,2.53,1.21,2.14,2.15
d_0,8.02,10.74,12.62,14.66,13.49,11.7,3.99,4.51,1.88,2.87,2.62,2.84,2.38,1.96,2.63,1.74
b_0,12.24,11.72,15.83,8.92,15.54,11.57,3.43,3.09,2.77,1.7,1.47,2.56,2.38,1.58,2.14,1.44
c_0,14.63,13.2,18.78,7.56,13.36,13.74,3.72,3.36,4.43,2.4,1.77,2.53,2.36,1.91,2.63,1.74
f_0,14.86,21.13,12.72,13.19,15.46,14.1,4.21,2.66,2.95,2.83,2.81,1.78,2.9,2.16,2.54,1.39
a_0,18.54,19.99,19.7,15.67,23.83,20.17,5.02,5.58,4.12,2.2,2.8,3.63,2.08,2.73,2.85,2.37
h_0,19.02,18.65,20.19,18.09,17.65,15.71,6.32,5.49,3.98,3.75,3.47,3.78,3.23,3.63,3.01,2.77
e_0,27.4,29.81,18.15,17.02,22.17,18.64,5.25,4.29,4.29,4.5,4.01,2.21,4.53,3.18,2.08,2.51
g_0,21.34,24.37,21.39,22.61,21.83,21.56,5.02,8.37,5.2,4.32,4.35,4.63,3.56,2.65,4.13,3.71
