,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.51,0.47,0.75,0.45,0.46,0.31,0.45,0.44,0.49,0.51,0.53,0.23,0.51,0.42,0.36,0.55
d_1,0.51,1.51,0.44,0.36,0.42,0.39,0.66,0.46,0.89,0.36,0.61,0.59,0.59,0.48,0.49,0.39
e_1,0.45,0.43,1.53,0.5,0.43,0.37,0.53,0.5,0.54,0.95,0.51,0.64,0.65,0.49,0.33,0.55
c_1,0.53,0.54,0.41,1.55,0.77,0.29,0.51,0.46,0.21,0.44,0.46,0.53,0.61,0.41,0.39,0.53
b_1,0.47,0.51,0.48,0.4,1.59,0.66,0.48,0.46,0.49,0.57,0.27,0.47,0.6,0.51,0.53,0.69
a_1,0.52,0.5,0.38,0.59,0.44,1.75,0.67,0.58,0.66,0.45,0.54,0.65,0.8,0.26,0.55,0.58
h_1,0.99,0.68,0.72,0.9,0.55,0.53,1.72,0.95,0.88,0.81,0.96,0.94,0.57,0.78,0.73,1.2
g_1,0.7,1.06,0.65,0.72,0.71,0.6,0.62,1.77,0.81,0.89,0.89,1.22,0.71,0.63,0.81,0.59
c_0,0.88,0.84,0.77,0.62,0.57,0.58,0.86,0.95,1.54,1.01,1.38,1.06,1.06,0.78,0.76,0.93
d_0,0.78,0.43,0.69,1.3,0.58,0.72,0.92,0.85,0.75,1.53,1.06,0.86,0.79,0.86,0.75,0.82
b_0,0.94,0.88,0.85,0.84,0.28,0.6,0.82,0.92,0.81,0.86,1.55,0.66,1.09,1.39,0.7,0.87
f_0,0.56,0.82,0.65,1.01,0.65,0.61,0.69,0.81,0.81,1.12,1.1,1.55,1.15,0.86,1.68,0.88
h_0,1.06,0.9,0.77,0.72,0.7,0.59,0.41,1.19,0.95,0.98,0.88,0.8,0.62,0.75,0.81,1.22
a_0,0.86,0.81,0.84,1.07,0.61,,0.8,0.95,1.11,0.98,0.72,0.88,1.14,1.69,0.76,0.87
e_0,1.03,0.89,0.49,0.73,0.63,0.71,1.03,1.03,1.14,1.14,1.1,0.6,1.14,1.0,1.68,0.83
g_0,0.8,1.2,0.71,0.9,0.66,0.61,0.73,0.59,0.96,0.88,0.89,1.31,0.87,0.74,1.01,
