,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,1.0,0.81,1.15,1.77,2.34,4.36,18.84,49.18,39.8,37.29,55.67,52.71,97.99,105.02,116.16,154.17
f_1,1.23,1.0,1.13,1.43,2.47,3.51,16.28,27.88,39.78,40.12,38.73,39.1,74.26,71.46,102.74,75.82
d_1,0.86,0.89,1.0,0.94,1.74,2.98,13.56,24.3,21.1,42.1,37.59,36.1,59.99,67.89,69.82,92.2
c_1,0.56,0.69,1.04,1.0,2.39,2.39,12.05,13.89,24.62,22.6,28.12,28.2,45.87,56.24,56.56,71.5
b_1,0.42,0.4,0.57,0.42,1.0,2.62,7.41,10.58,15.66,14.26,20.66,22.24,30.61,45.4,43.79,54.01
a_1,0.23,0.29,0.33,0.42,0.38,1.0,4.9,7.63,9.11,10.29,14.45,12.92,21.65,22.96,36.67,29.01
h_1,0.06,0.06,0.07,0.08,0.14,0.21,1.0,1.63,2.14,2.11,2.47,2.58,4.23,4.91,6.16,6.55
d_0,0.02,0.04,0.04,0.07,0.1,0.13,0.61,1.0,1.31,1.06,1.56,1.5,2.55,2.77,3.32,3.79
g_1,0.03,0.02,0.05,0.04,0.06,0.11,0.47,0.73,1.0,1.23,1.42,1.72,2.4,1.92,3.51,3.45
c_0,0.03,0.02,0.02,0.04,0.06,0.09,0.47,0.99,0.79,1.0,1.64,1.27,2.1,2.52,3.25,2.69
b_0,0.02,0.03,0.03,0.04,0.05,0.07,0.39,0.67,0.7,0.6,1.0,0.97,2.47,1.9,2.19,2.67
f_0,0.02,0.03,0.03,0.03,0.05,0.08,0.38,0.68,0.59,0.77,0.99,1.0,1.91,1.96,1.91,3.59
a_0,0.01,0.01,0.02,0.02,0.04,0.04,0.24,0.43,0.41,0.48,0.41,0.53,1.0,1.18,1.26,1.51
h_0,0.01,0.01,0.01,0.02,0.02,0.04,0.21,0.35,0.51,0.38,0.53,0.52,0.83,1.0,1.32,1.18
g_0,0.01,0.01,0.01,0.02,0.02,0.03,0.17,0.29,0.28,0.3,0.45,0.53,0.82,0.75,1.0,0.95
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.16,0.26,0.29,0.36,0.38,0.29,0.72,0.85,0.99,1.0
