,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,0.68,3.66,4.93,4.17,4.75,7.32,2.52,2.82,2.67,1.92,2.13,2.06,2.24,1.89,1.63,
f_1,7.02,0.68,5.31,5.46,6.41,6.2,2.37,2.1,2.12,2.36,1.57,,2.11,1.17,1.78,1.17
d_1,9.0,5.91,0.66,4.97,5.37,6.72,2.39,,1.63,2.93,1.97,1.98,2.44,1.66,1.08,1.93
c_1,8.39,6.0,7.09,0.65,6.91,5.12,2.85,1.28,2.89,,2.26,1.94,2.01,1.82,1.45,1.91
b_1,9.24,6.2,7.4,4.1,0.61,7.45,2.94,1.82,3.28,1.94,,2.46,,3.46,1.5,2.51
a_1,6.51,8.28,6.51,8.79,5.23,0.57,3.24,2.98,3.3,2.35,2.91,2.11,,1.82,3.18,
h_1,5.34,4.39,4.52,5.14,3.89,4.29,0.62,1.7,2.42,2.23,1.7,1.78,1.55,,1.24,2.0
d_0,2.91,5.34,,5.35,6.17,3.92,2.67,0.71,2.64,1.49,1.89,1.78,1.24,1.22,1.6,1.32
g_1,6.03,6.3,6.35,4.68,4.65,4.66,1.91,1.79,0.57,2.18,2.35,3.36,,1.09,,2.36
c_0,4.44,4.3,3.0,,7.0,5.55,1.82,1.98,2.15,0.7,1.95,2.06,1.74,1.6,1.94,1.44
b_0,4.17,6.8,5.54,5.6,,5.83,2.31,1.95,1.98,1.44,0.67,2.13,2.31,1.43,1.09,2.1
f_0,5.44,,5.05,5.73,4.72,5.86,2.27,2.14,1.28,1.52,2.03,0.67,2.23,1.77,1.02,2.14
a_0,5.3,6.3,5.38,6.02,,,2.34,2.66,,2.67,1.32,1.46,0.62,1.69,2.38,
h_0,4.09,5.08,5.28,4.89,3.33,3.2,,1.72,2.93,1.39,1.8,1.55,1.51,,1.56,1.75
g_0,5.06,4.97,6.38,8.14,6.22,2.82,2.35,1.85,,1.34,2.02,1.81,1.27,1.08,,1.14
e_0,,10.84,5.66,6.71,4.18,,2.08,2.37,2.17,2.68,2.24,1.33,,1.57,2.33,0.63
