,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.06,1.42,1.99,1.92,2.32,1.9,0.76,0.79,0.8,0.59,0.59,0.54,0.53,0.49,1.02,0.48
f_1,2.28,1.06,2.15,1.93,2.03,1.51,0.6,0.84,0.59,0.51,0.77,0.55,0.52,0.33,0.41,0.43
c_1,2.03,2.15,1.06,2.55,2.29,1.68,0.87,0.77,0.41,0.74,0.62,0.58,0.62,0.53,0.58,0.42
d_1,2.54,2.4,2.4,1.05,2.03,1.9,0.9,0.56,1.05,0.71,0.68,0.62,0.66,0.47,0.5,0.34
b_1,2.16,2.52,1.58,2.59,1.06,2.24,1.02,0.95,0.79,0.79,0.67,1.34,0.63,0.6,0.59,0.63
a_1,3.55,4.25,3.72,3.35,2.07,1.07,1.43,1.27,1.13,1.11,0.92,1.28,1.26,0.92,0.97,0.78
h_1,5.35,5.84,5.12,5.37,5.22,3.8,1.31,2.21,1.6,1.42,1.39,1.46,1.29,1.46,1.22,1.16
g_1,6.58,6.34,6.21,6.63,6.52,5.49,1.89,1.33,1.91,1.52,1.91,1.51,1.45,1.22,1.56,1.47
d_0,3.97,6.88,7.67,8.43,5.87,5.12,2.57,2.87,1.5,1.72,1.77,2.03,1.81,1.29,1.78,1.65
c_0,8.72,9.63,9.81,4.68,7.35,5.57,3.24,2.84,2.98,1.52,2.06,2.39,1.87,1.7,1.76,1.86
f_0,7.21,10.9,8.39,7.52,7.13,6.0,3.1,2.04,2.45,2.05,1.51,2.25,1.84,1.97,2.53,1.21
b_0,9.06,8.51,8.88,7.16,8.81,5.9,3.01,3.02,2.5,1.28,2.13,1.46,2.61,1.72,1.74,1.62
a_0,10.41,9.33,9.66,7.63,10.98,10.65,4.05,3.53,3.08,2.28,2.31,1.62,1.51,1.85,2.58,1.82
h_0,9.14,10.95,9.06,8.47,9.31,7.75,4.62,3.8,3.49,2.88,2.46,2.67,2.52,2.65,2.35,2.14
e_0,11.6,16.92,9.58,9.22,9.49,8.56,4.07,3.52,3.61,3.07,1.71,3.3,2.44,2.68,1.61,1.91
g_0,10.5,12.29,12.35,11.18,9.55,9.2,3.63,5.3,3.6,3.07,3.81,3.26,3.08,2.08,3.28,2.81
