,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,0.42,1.25,1.28,1.26,1.16,0.91,0.3,0.22,0.23,0.4,0.27,0.21,0.24,0.15,0.21,0.12
f_1,1.09,0.42,1.16,1.22,1.09,1.06,0.27,0.43,0.23,0.28,0.22,0.36,0.21,0.12,0.21,0.19
e_1,1.29,0.73,0.41,1.46,1.26,1.32,0.39,0.32,0.27,0.3,0.3,0.3,0.27,0.17,0.4,0.21
c_1,1.72,1.27,0.96,0.41,1.2,1.12,0.38,0.37,0.36,0.14,0.24,0.24,0.22,0.2,0.25,0.17
b_1,1.53,1.42,1.27,0.69,0.39,1.33,0.41,0.42,0.36,0.28,0.43,0.28,0.28,0.2,0.32,0.23
a_1,1.62,1.7,1.7,1.81,0.87,0.32,0.54,0.53,0.35,0.41,0.46,0.38,0.67,0.27,0.33,0.24
h_1,1.86,2.41,1.98,2.0,2.23,2.31,0.29,0.61,0.39,0.46,0.41,0.37,0.4,0.4,0.32,0.28
g_1,2.17,2.44,2.64,2.73,2.28,1.83,0.52,0.28,0.45,0.57,0.51,0.46,0.43,0.26,0.42,0.5
c_0,1.36,2.93,2.26,3.79,2.98,2.42,0.74,0.63,0.33,0.73,0.53,0.47,0.5,0.34,0.46,0.34
d_0,3.88,2.59,1.39,2.58,2.41,2.76,0.87,0.81,0.53,0.32,0.46,0.56,0.48,0.36,0.54,0.39
b_0,2.07,3.06,2.3,3.04,4.1,2.31,0.71,0.7,0.32,0.56,0.31,0.5,0.59,0.44,0.46,0.37
f_0,2.38,4.48,2.37,2.65,2.64,2.34,0.77,0.49,0.51,0.58,0.49,0.32,0.43,0.43,0.49,0.26
a_0,2.86,2.96,2.99,3.29,3.88,4.32,0.84,0.88,0.51,0.65,0.34,0.53,0.29,0.39,0.45,0.38
h_0,3.04,2.9,3.35,2.86,2.75,2.41,1.25,1.0,0.67,0.68,0.6,0.61,0.57,0.63,0.55,0.47
e_0,2.67,5.39,4.18,3.26,3.22,2.83,0.74,0.75,0.55,0.66,0.52,0.31,0.48,0.42,0.28,0.34
g_0,2.76,3.7,2.91,3.3,3.25,3.73,0.7,1.42,0.69,0.61,0.56,0.55,0.61,0.39,0.58,0.49
