,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.25,0.88,1.02,0.86,1.05,0.82,0.85,1.02,1.02,0.92,0.82,0.86,0.93,1.09,0.83
e_1,0.81,1.0,0.94,1.24,1.01,0.98,1.1,1.02,1.12,1.41,1.0,1.3,1.05,1.05,1.04,1.03
d_1,1.11,1.05,1.0,0.88,1.02,0.83,0.98,1.3,0.83,0.94,1.06,0.95,1.04,0.93,0.84,1.06
c_1,1.0,0.81,1.13,1.0,1.38,0.96,1.06,0.91,0.93,0.73,0.87,0.94,0.98,0.89,0.98,0.93
b_1,1.15,0.98,0.96,0.75,1.0,1.41,1.1,1.15,0.98,0.96,1.14,1.03,1.1,0.91,1.02,0.95
a_1,0.96,1.01,1.2,1.04,0.72,1.0,1.03,1.04,1.21,1.04,1.15,1.05,1.19,1.32,1.21,1.12
h_1,1.18,0.92,1.04,0.94,0.9,0.93,1.0,0.9,1.14,1.0,1.04,0.85,1.01,0.91,1.21,1.06
c_0,1.14,0.99,0.77,1.1,0.83,0.97,1.1,1.0,1.09,1.28,1.46,1.06,1.1,1.23,1.01,1.04
g_1,0.96,0.91,1.19,1.15,0.95,0.83,0.88,0.9,1.0,0.89,0.95,1.12,0.76,1.06,0.88,1.05
d_0,0.96,0.7,1.06,1.36,1.08,0.91,1.03,0.77,1.14,1.0,0.99,1.03,1.04,1.06,1.07,1.05
b_0,1.03,0.99,0.97,1.17,0.94,0.85,1.0,0.69,1.03,0.97,1.0,1.01,1.03,1.56,1.04,0.96
f_0,1.19,0.83,1.07,1.03,0.94,0.9,1.2,0.93,0.86,0.93,0.96,1.0,0.94,1.12,0.78,1.52
h_0,1.13,0.99,0.99,1.0,0.89,0.86,1.03,0.89,1.33,0.96,0.94,1.0,0.99,1.0,1.13,0.86
a_0,1.05,0.96,1.03,1.18,1.04,0.81,1.2,0.86,0.89,0.96,0.68,0.94,1.01,1.0,0.93,1.11
g_0,0.92,0.94,1.2,1.0,0.96,0.8,0.83,1.0,1.16,0.94,0.97,1.34,0.88,1.03,1.0,1.12
e_0,1.19,1.03,0.96,1.09,1.08,0.87,0.99,0.96,0.86,0.89,0.95,0.66,1.12,1.02,0.89,1.0
