,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.42,0.93,0.9,0.79,0.85,0.81,0.35,0.37,0.51,0.33,0.38,0.59,0.27,0.37,0.36,0.33
e_1,0.56,0.41,1.08,0.96,0.97,0.82,0.48,0.49,0.57,0.52,0.41,0.47,0.36,0.38,0.84,0.44
c_1,0.98,0.67,0.39,1.01,0.99,0.86,0.49,0.26,0.46,0.43,0.36,0.35,0.36,0.37,0.38,0.31
d_1,0.95,1.04,0.91,0.39,0.96,0.74,0.43,0.7,0.31,0.43,0.41,0.34,0.3,0.34,0.36,0.25
b_1,0.93,0.87,0.54,0.95,0.37,1.2,0.62,0.42,0.51,0.49,0.8,0.48,0.35,0.49,0.36,0.34
a_1,1.02,0.98,0.8,1.06,0.48,0.3,0.57,0.44,0.6,0.41,0.66,0.42,0.39,0.86,0.46,0.32
h_1,0.8,0.76,0.8,0.8,0.69,0.74,0.25,0.34,0.51,0.35,0.35,0.35,0.42,0.32,0.34,0.38
d_0,0.87,0.5,1.0,0.93,0.78,0.77,0.52,0.27,0.43,0.32,0.34,0.33,0.32,0.39,0.31,0.38
g_1,0.87,0.74,0.83,0.84,0.82,0.59,0.32,0.38,0.22,0.36,0.35,0.4,0.24,0.34,0.37,0.42
c_0,0.97,0.78,1.66,0.46,0.85,0.78,0.44,0.45,0.39,0.24,0.37,0.36,0.36,0.42,0.34,0.32
b_0,0.78,0.77,1.07,0.58,1.24,0.81,0.44,0.35,0.43,0.23,0.23,0.39,0.35,0.47,0.3,0.35
f_0,1.1,0.75,0.85,0.87,0.63,0.72,0.43,0.42,0.26,0.35,0.35,0.22,0.31,0.34,0.45,0.23
h_0,0.84,0.82,0.73,0.73,0.77,0.64,0.56,0.38,0.49,0.3,0.33,0.31,0.39,0.34,0.34,0.29
a_0,0.82,0.81,0.76,0.73,0.84,0.92,0.46,0.34,0.49,0.32,0.22,0.37,0.3,0.21,0.37,0.26
e_0,1.01,1.02,0.74,0.73,0.76,0.68,0.46,0.4,0.38,0.3,0.34,0.19,0.28,0.35,0.2,0.3
g_0,0.83,0.68,0.8,0.85,0.81,0.89,0.3,0.33,0.54,0.35,0.33,0.36,0.24,0.34,0.36,0.38
