,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,2.22,0.21,0.23,0.19,0.25,0.15,0.44,0.4,1.06,0.39,0.49,0.34,0.36,0.67,0.14,0.5
f_1,0.38,2.26,0.24,0.22,0.21,0.16,0.39,0.32,0.41,0.38,0.12,0.46,0.32,0.57,0.27,0.47
c_1,0.26,0.23,2.36,0.19,0.34,0.16,0.44,0.35,0.42,0.1,0.47,0.38,0.43,0.61,0.3,0.47
d_1,0.25,0.22,0.17,2.42,0.19,0.17,0.44,0.47,0.1,0.78,0.51,0.57,0.51,0.52,0.37,0.5
b_1,0.2,0.22,0.23,0.23,2.46,0.29,0.43,0.32,0.55,0.46,0.46,0.13,0.25,0.5,0.34,0.59
a_1,0.19,0.29,0.25,0.19,0.22,3.15,0.5,0.31,0.46,0.5,0.37,0.38,0.05,0.55,0.54,0.32
h_1,0.41,0.59,0.4,0.35,0.33,0.25,2.74,0.83,0.78,0.77,0.57,0.78,0.62,0.25,0.65,0.95
g_1,0.33,0.33,0.4,0.71,0.28,0.25,0.62,3.04,0.64,0.86,1.15,0.83,0.58,0.85,0.68,0.33
d_0,0.38,0.53,0.76,0.11,0.37,0.27,0.62,0.55,2.22,0.61,0.59,0.54,0.55,0.98,0.47,1.05
c_0,0.4,0.52,0.19,0.45,0.33,0.25,0.68,0.8,0.67,2.46,0.83,1.61,0.83,1.09,0.7,0.92
f_0,0.48,0.1,0.45,0.33,0.35,0.33,0.83,0.69,0.96,0.88,2.61,1.03,1.09,1.06,1.46,1.04
b_0,0.45,0.45,0.49,0.52,0.09,0.2,0.8,0.84,0.64,0.82,0.82,2.66,1.22,0.85,0.69,0.85
a_0,0.44,0.47,0.34,0.44,0.37,,0.73,0.76,0.68,0.95,0.98,0.76,2.84,1.11,0.84,0.9
h_0,0.39,0.68,0.32,0.48,0.31,0.21,0.23,0.75,0.76,0.85,0.64,0.64,0.87,0.36,0.55,1.04
e_0,0.1,0.55,0.39,0.49,0.42,0.33,0.88,0.68,0.68,1.04,0.81,0.8,0.5,1.09,3.02,0.79
g_0,0.4,0.47,0.46,0.61,0.25,0.26,0.78,0.2,0.65,0.57,1.1,0.69,0.67,0.84,0.79,0.36
