,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.97,0.79,0.62,0.92,0.76,0.73,0.94,0.86,1.64,0.88,0.97,0.91,1.04,0.96,0.65,0.95
f_1,1.21,2.02,0.66,0.77,0.74,0.54,0.83,0.8,0.96,0.9,0.99,0.61,1.0,0.82,0.56,1.01
d_1,0.77,0.84,2.36,0.55,0.57,0.7,1.01,1.03,0.55,1.82,1.19,1.1,1.03,1.24,1.09,0.93
c_1,0.66,0.69,0.74,2.32,1.38,0.66,0.96,0.83,0.89,0.44,0.72,0.99,0.88,0.87,1.18,0.86
b_1,0.66,0.71,0.85,0.89,2.43,1.46,0.87,1.04,0.86,0.8,0.6,0.99,0.9,0.77,0.99,0.91
a_1,0.76,0.81,0.81,0.76,0.75,3.72,1.06,0.81,0.96,1.02,1.0,1.11,1.1,0.56,1.03,1.16
h_1,0.74,1.1,0.91,0.79,0.7,0.81,2.04,1.43,0.8,0.96,1.08,1.09,0.76,1.08,1.15,1.37
g_1,0.62,0.83,1.42,0.84,0.61,0.74,0.96,2.56,0.78,1.07,1.14,1.71,0.99,1.04,1.36,0.82
d_0,0.8,0.84,0.54,1.45,0.95,0.7,1.16,1.08,1.6,0.67,1.07,0.99,1.01,1.05,1.06,1.04
c_0,0.83,1.04,0.91,0.68,0.63,0.7,1.2,1.14,0.92,1.68,1.96,1.07,1.17,1.41,1.3,1.08
b_0,0.92,0.95,0.89,0.8,0.51,0.73,1.08,1.16,1.05,1.0,1.85,0.86,1.06,2.29,1.03,1.13
f_0,0.64,0.7,1.16,0.75,0.81,0.86,1.15,1.12,0.98,1.2,1.25,2.02,1.24,1.2,2.37,1.34
h_0,0.83,1.11,0.91,0.82,0.81,0.62,0.74,1.33,1.08,1.02,0.97,1.04,0.77,0.81,1.03,1.45
a_0,0.9,1.01,0.98,0.75,0.66,0.54,0.93,1.12,0.85,1.18,1.05,0.97,1.29,2.58,1.24,1.19
e_0,0.59,1.0,0.86,0.77,0.94,0.87,1.2,1.1,0.97,1.08,1.29,1.07,1.36,1.17,2.41,1.1
g_0,0.79,0.79,1.3,0.83,0.69,0.75,1.07,0.9,0.92,0.98,1.08,1.6,1.04,1.22,1.28,0.9
