,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,102.24,13.48,23.74,18.73,26.66,47.78,2282.93,3632.9,4250.67,5236.58,8134.95,,13230.8,20524.94,22019.98,42725.34
d_1,12.29,120.38,10.31,16.04,22.6,59.27,2350.85,,3435.57,7311.95,5705.61,7534.85,21696.51,25165.42,30211.82,36070.97
e_1,9.42,14.95,120.98,14.11,24.9,73.16,1508.8,6276.35,3117.53,5036.11,5900.38,8284.55,20506.99,19869.91,,36543.88
c_1,10.39,13.36,14.04,147.72,35.15,70.7,1398.32,2652.55,4162.9,,4927.57,9183.34,17877.41,19902.27,21625.12,37922.19
b_1,9.04,13.27,10.62,9.96,193.83,77.88,2004.97,3092.19,2196.06,3569.24,,7250.89,18201.43,15087.43,,33769.65
a_1,8.06,9.09,7.86,8.15,14.01,431.02,1167.97,2644.28,2226.26,2598.85,3325.25,5215.53,11174.39,,,18091.96
h_1,5.62,4.49,7.58,9.63,8.67,25.4,3141.22,1604.7,1940.43,2746.98,2840.83,4450.88,,10367.55,15587.69,22861.89
d_0,4.63,,4.64,15.0,11.02,27.06,794.46,4238.26,1233.27,1955.7,3033.04,3303.33,7921.34,10959.36,12126.3,20442.02
g_1,3.89,6.59,4.46,4.95,11.11,22.68,702.29,1818.09,5350.12,1550.73,2397.01,4417.75,5792.81,8141.88,12539.02,
c_0,4.78,3.79,6.47,,9.07,22.36,739.19,1804.13,1360.97,5073.84,4388.32,4209.69,8624.73,8139.28,10514.83,15069.37
b_0,3.72,5.86,4.96,7.34,,19.14,749.0,1607.07,1178.55,1201.34,6369.74,3317.86,7784.26,13711.63,15738.6,12170.23
f_0,,4.92,4.8,5.19,9.61,24.59,608.79,1478.54,1176.88,1522.74,2220.44,8795.03,5311.06,7900.25,10816.53,10543.7
h_0,6.27,4.7,4.23,5.41,7.54,19.92,,1337.24,1602.07,1406.38,2199.44,3003.1,,5288.58,10887.71,15548.2
a_0,2.51,3.64,3.96,4.15,5.26,,470.35,872.59,696.1,1333.94,1200.75,1757.91,7104.55,18254.19,,10183.1
e_0,2.79,3.52,,4.58,,,434.54,923.95,676.06,1449.01,1045.99,2060.4,5146.65,,22608.97,7968.11
g_0,2.64,4.67,2.37,5.07,6.7,20.65,427.18,841.8,,1274.04,2040.0,3998.19,3904.32,6526.21,7177.43,
