,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,11068.72,2431.1,3171.78,4441.43,7757.98,25408.88,3043127.72,6485901.32,16626838.8,5240527.96,20940345.56,22620832.46,90424031.74,89339551.64,89289658.51,174800403.96
e_1,1828.48,12241.66,3024.23,6394.88,9168.34,33851.35,2496241.77,5820289.8,8180592.97,25136782.18,15767715.22,22436858.76,100068729.33,89016880.62,28878548.41,146326464.87
f_1,2261.66,4643.58,13283.77,5440.56,8098.92,23276.24,2013586.66,5180350.91,7913587.0,11148527.6,16399706.59,8433288.82,95534868.18,56009085.17,55572703.44,95216319.48
c_1,2598.92,2461.87,2663.33,29126.92,15412.73,29363.7,2723702.82,5421706.33,2647918.03,12408782.85,9890883.16,19386896.01,84327762.59,49626304.1,52894339.43,153497193.57
b_1,2615.41,2229.32,2809.6,4827.64,52917.89,62782.66,2876820.77,5859783.12,7362844.23,10718094.31,6805746.68,18838175.84,65753647.12,45543799.7,97399400.51,147234080.56
a_1,2742.14,2788.31,3091.85,5121.1,6224.62,262700.32,2564657.49,7244013.63,7740816.13,15536329.47,15027004.82,24697173.04,118022534.68,39967446.62,95614850.53,161788582.34
h_1,2822.96,2546.5,4600.04,6755.64,10865.98,40128.83,8792899.66,10197425.39,9448966.78,15786831.94,18779964.06,23785568.41,60758142.81,72366521.0,111784550.47,249705992.13
g_1,4995.4,2425.39,1823.17,7705.65,10097.76,35422.58,2828477.5,25704715.66,9969827.89,11142998.1,17165566.9,36801303.16,105528436.26,92803517.97,122487124.88,111387932.38
c_0,3583.6,3437.55,3426.02,3726.42,9334.84,38364.72,2812591.25,8522163.17,20487150.41,17288466.46,37298471.59,26550642.99,133633045.81,113225116.86,104845142.52,185043759.9
d_0,1126.11,3415.12,3582.85,13276.42,9290.45,34391.94,3239358.12,8857836.05,7618629.73,33172029.42,15660475.25,25062318.66,108415612.94,85357791.9,111532562.42,187004223.52
b_0,3639.11,3505.49,3873.93,5361.05,4410.56,30995.03,3518696.21,7968045.04,11759008.43,16147665.91,44101146.89,22580563.48,128226471.53,209882323.96,91194339.85,216318310.58
f_0,3556.76,2408.52,1819.43,6796.22,10537.43,50429.19,3927188.42,10250546.66,11887504.3,16146001.69,19377206.74,58367980.07,137135207.5,86858612.21,233691672.17,171359675.78
h_0,3687.37,3056.41,5265.45,7143.93,11119.86,28781.6,1695078.31,10005345.55,10970344.94,15116428.68,13761572.84,19537100.86,50519402.04,104284808.2,68296321.81,229021917.05
a_0,3353.72,3351.24,3560.32,7288.49,9290.68,16651.54,3868306.88,8654448.92,12130468.12,17928448.66,20310183.36,27085684.06,137602552.95,244718769.75,95088228.29,179011779.22
e_0,3467.21,1631.99,3758.78,7955.53,10263.84,40060.24,4230616.25,7844892.2,10517680.33,15974892.53,19557954.35,25046713.56,146475880.71,97429514.13,299525745.18,193622479.99
g_0,5259.99,2549.99,3395.54,6175.39,9243.83,34178.38,3103540.88,5359864.24,11012830.87,13692765.02,17462459.24,38077774.0,108536867.55,104388765.14,98596039.18,133752371.05
