,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.33,1.0,1.22,1.24,2.95,17.42,26.79,25.83,31.02,36.21,50.0,69.53,63.36,73.66,119.1
e_1,0.76,1.0,0.95,1.22,1.49,2.89,22.05,28.1,28.15,39.53,39.69,62.09,80.42,79.88,116.41,116.75
d_1,0.97,1.02,1.0,0.96,1.15,2.7,17.68,21.99,32.81,27.87,37.98,52.55,70.23,69.37,85.05,78.03
c_1,0.82,0.84,1.03,1.0,1.65,2.37,17.47,20.71,21.71,19.01,27.84,44.41,66.47,66.07,76.02,98.73
b_1,0.8,0.68,0.87,0.62,1.0,3.1,15.22,22.27,26.75,21.14,31.87,38.97,49.93,71.47,84.86,86.79
a_1,0.34,0.34,0.38,0.41,0.32,1.0,8.09,9.83,10.44,10.84,15.14,19.8,28.14,26.39,35.25,40.2
h_1,0.06,0.05,0.06,0.06,0.06,0.13,1.0,1.71,1.36,1.33,1.93,2.51,3.24,3.88,4.66,5.95
g_1,0.04,0.03,0.05,0.05,0.05,0.1,0.61,1.0,0.92,0.91,1.32,2.33,2.51,2.26,3.79,3.65
c_0,0.04,0.04,0.03,0.05,0.04,0.09,0.73,1.09,1.0,1.21,1.88,1.86,2.86,2.68,3.89,3.76
d_0,0.03,0.03,0.04,0.05,0.05,0.1,0.74,1.12,0.78,1.0,1.29,1.78,2.47,2.66,3.0,4.21
b_0,0.03,0.03,0.03,0.04,0.03,0.07,0.52,0.76,0.56,0.76,1.0,1.53,2.79,2.07,2.64,2.6
f_0,0.02,0.02,0.02,0.02,0.02,0.05,0.39,0.44,0.54,0.56,0.63,1.0,1.35,1.58,2.53,1.64
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.32,0.38,0.33,0.38,0.38,0.74,1.0,1.19,1.33,1.49
h_0,0.02,0.01,0.01,0.01,0.01,0.04,0.25,0.44,0.36,0.38,0.48,0.64,0.84,1.0,1.28,1.64
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.23,0.27,0.27,0.34,0.37,0.4,0.72,0.71,1.0,1.08
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.17,0.28,0.26,0.24,0.35,0.64,0.69,0.58,0.91,1.0
