,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.43,0.59,0.98,1.06,0.97,0.81,0.26,0.21,0.29,0.21,0.2,0.26,0.13,0.19,0.15,0.26
f_1,0.89,0.42,0.85,0.97,0.94,0.8,0.21,0.19,0.29,0.18,0.2,0.23,0.1,0.16,0.16,0.18
d_1,0.98,0.97,0.41,1.09,0.94,0.98,0.24,0.32,0.18,0.18,0.18,0.19,0.12,0.17,0.09,0.17
c_1,0.86,1.01,1.27,0.39,0.92,0.9,0.3,0.12,0.3,0.28,0.22,0.2,0.14,0.18,0.14,0.16
b_1,1.12,1.21,1.25,0.6,0.37,1.01,0.34,0.2,0.34,0.36,0.37,0.22,0.17,0.23,0.18,0.23
a_1,1.27,1.46,1.47,1.07,0.67,0.32,0.34,0.31,0.37,0.29,0.34,0.28,0.22,0.44,0.19,0.22
h_1,1.85,1.79,1.72,1.72,1.65,1.64,0.28,0.39,0.52,0.34,0.37,0.35,0.35,0.32,0.26,0.34
d_0,1.39,1.81,2.88,1.9,2.19,1.76,0.59,0.3,0.66,0.45,0.39,0.42,0.3,0.4,0.32,0.42
g_1,2.17,2.1,1.7,2.18,2.03,1.76,0.46,0.47,0.25,0.38,0.41,0.38,0.23,0.36,0.33,0.33
c_0,2.09,2.16,1.17,3.22,2.11,2.19,0.57,0.68,0.48,0.29,0.46,0.47,0.31,0.36,0.3,0.46
b_0,1.91,1.89,1.76,2.66,2.9,2.25,0.6,0.46,0.59,0.26,0.27,0.42,0.29,0.33,0.31,0.36
f_0,2.18,2.64,2.23,2.12,1.94,1.82,0.56,0.44,0.39,0.39,0.41,0.27,0.27,0.37,0.19,0.41
h_0,2.55,2.31,2.35,2.59,2.32,2.04,0.87,0.53,0.72,0.46,0.48,0.5,0.44,0.41,0.35,0.46
a_0,2.93,2.72,2.33,2.54,3.34,3.2,0.71,0.52,0.76,0.46,0.32,0.59,0.4,0.27,0.35,0.53
g_0,2.64,2.71,2.55,2.78,2.97,2.41,0.55,0.58,0.94,0.51,0.5,0.5,0.31,0.49,0.38,0.56
e_0,3.41,3.13,2.76,2.66,2.37,2.31,0.74,0.57,0.64,0.5,0.51,0.3,0.38,0.45,0.29,0.26
