,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.43,1.55,1.35,1.09,1.21,1.01,0.49,0.86,0.59,0.52,0.59,0.91,0.39,0.62,0.5,0.59
e_1,0.76,0.41,1.4,1.43,1.57,1.16,0.73,0.68,0.8,0.64,0.6,0.74,0.55,0.6,0.61,1.41
c_1,1.29,1.15,0.4,1.42,1.49,1.2,0.88,0.66,0.35,1.02,0.65,0.56,0.42,0.5,0.54,0.53
d_1,1.42,1.45,1.36,0.39,1.35,1.48,0.62,0.44,1.13,0.6,0.48,0.53,0.44,0.58,0.34,0.51
b_1,1.68,1.17,0.71,1.38,0.36,1.82,0.77,0.88,0.64,0.75,1.52,0.61,0.56,0.65,0.53,0.5
a_1,1.34,1.39,1.48,1.29,0.71,0.3,0.79,0.74,0.7,0.7,0.53,0.81,0.7,1.58,0.53,0.61
h_1,1.08,0.9,0.86,0.94,0.87,0.99,0.25,0.61,0.43,0.5,0.43,0.44,0.79,0.39,0.38,0.58
g_1,0.92,1.02,0.98,1.17,0.89,0.93,0.48,0.23,0.43,0.39,0.39,0.43,0.28,0.41,0.54,0.48
d_0,0.98,0.58,1.24,1.73,0.92,0.83,0.61,0.62,0.28,0.41,0.5,0.44,0.43,0.48,0.41,0.43
c_0,1.14,0.81,1.98,0.63,0.94,0.84,0.52,0.65,0.5,0.26,0.59,0.42,0.39,0.57,0.5,0.47
b_0,0.97,0.88,1.32,0.87,1.5,1.27,0.49,0.47,0.41,0.2,0.24,0.38,0.34,0.43,0.26,0.34
f_0,2.32,0.78,1.0,0.87,0.98,1.14,0.53,0.35,0.41,0.41,0.41,0.23,0.42,0.39,0.27,0.45
h_0,1.09,0.92,0.99,1.01,0.87,0.77,0.71,0.61,0.37,0.42,0.4,0.33,0.6,0.46,0.37,0.36
a_0,0.99,0.92,1.15,0.83,1.36,,0.55,0.48,0.36,0.34,0.27,0.36,0.34,0.21,0.33,0.53
g_0,1.0,0.92,1.1,0.87,0.84,1.15,0.47,0.95,0.4,0.31,0.44,0.45,0.35,0.41,0.54,0.39
e_0,1.42,1.11,1.01,1.05,0.97,1.16,0.46,0.45,0.37,0.36,0.36,0.24,0.37,0.35,0.35,0.19
