,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.17,1.06,0.95,0.81,0.82,0.75,,0.83,0.43,0.77,0.66,0.6,0.55,0.61,0.39
f_1,0.85,1.0,1.17,1.13,1.06,0.75,0.65,0.7,0.74,0.59,0.63,,0.62,0.45,0.43,0.58
e_1,0.95,0.86,1.0,0.94,0.94,0.77,0.74,0.9,0.58,0.84,0.68,0.58,0.64,0.56,,0.6
c_1,1.06,0.88,1.06,1.0,1.26,,0.71,0.55,,0.71,0.51,0.63,0.68,0.7,0.63,0.72
b_1,1.23,0.94,1.06,0.79,1.0,1.41,0.87,0.78,0.6,0.7,,0.68,0.66,0.59,0.59,0.46
a_1,1.22,1.33,1.3,,0.71,1.0,0.59,0.61,0.76,0.75,0.82,,0.66,,,0.6
h_1,1.33,1.53,1.35,1.42,1.15,1.71,1.0,1.05,0.88,1.06,0.76,0.88,,0.74,0.93,0.87
d_0,,1.42,1.12,1.83,1.28,1.63,0.95,1.0,0.97,0.93,1.18,0.91,0.93,0.96,0.7,0.95
c_0,1.2,1.35,1.73,,1.66,1.32,1.13,1.04,1.0,0.98,1.24,0.89,0.84,0.86,0.65,0.9
g_1,2.33,1.69,1.2,1.4,1.43,1.33,0.94,1.08,1.02,1.0,0.93,1.16,0.73,,0.83,
b_0,1.3,1.6,1.48,1.95,,1.22,1.32,0.85,0.81,1.08,1.0,1.02,1.02,1.01,,0.93
f_0,1.51,,1.72,1.59,1.48,,1.14,1.1,1.13,0.86,0.98,1.0,1.16,1.19,1.16,0.68
h_0,1.68,1.62,1.57,1.47,1.52,1.5,,1.08,1.18,1.37,0.98,0.86,,0.99,0.87,1.24
a_0,1.81,2.23,1.8,1.42,1.69,,1.36,1.04,1.17,,0.99,0.84,1.01,1.0,,1.04
e_0,1.63,2.33,,1.58,1.7,,1.07,1.43,1.54,1.2,,0.86,1.15,,1.0,0.81
g_0,2.53,1.71,1.67,1.4,2.17,1.68,1.15,1.05,1.11,,1.08,1.47,0.81,0.96,1.23,
