,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.96,0.61,0.56,0.67,0.54,0.38,0.44,0.37,0.58,0.36,0.37,0.35,0.36,0.31,0.25,0.28
f_1,0.94,0.96,0.56,0.57,0.51,0.34,0.4,0.34,0.4,0.32,0.28,0.32,0.32,0.24,0.21,0.32
d_1,0.72,0.7,0.96,0.51,0.52,0.4,0.4,0.36,0.36,0.58,0.38,0.41,0.37,0.3,0.28,0.28
c_1,0.62,0.69,0.65,0.95,0.86,0.41,0.44,0.4,0.35,0.31,0.33,0.29,0.36,0.29,0.29,0.3
b_1,0.65,0.72,0.64,0.55,0.95,0.68,0.51,0.43,0.41,0.44,0.41,0.32,0.39,0.3,0.31,0.35
a_1,0.74,0.92,0.75,0.69,0.56,0.94,0.58,0.4,0.49,0.47,0.42,0.42,0.42,0.3,0.32,0.39
h_1,0.95,1.12,0.98,0.84,0.72,0.5,0.82,0.68,0.55,0.55,0.54,0.49,0.47,0.41,0.4,0.49
g_1,0.98,1.04,1.17,0.82,0.75,0.59,0.64,0.81,0.57,0.61,0.74,0.49,0.51,0.44,0.51,0.44
d_0,0.84,1.05,0.84,1.33,0.94,0.63,0.71,0.58,0.74,0.5,0.58,0.51,0.58,0.49,0.48,0.54
c_0,1.1,1.11,0.94,0.86,0.78,0.6,0.71,0.6,0.68,0.74,0.64,0.9,0.63,0.58,0.5,0.55
f_0,0.94,1.11,1.08,1.04,0.9,0.68,0.74,0.62,0.66,0.61,0.75,0.6,0.62,0.53,0.77,0.54
b_0,1.13,1.13,1.04,1.01,0.85,0.56,0.72,0.68,0.64,0.52,0.63,0.73,0.66,0.81,0.53,0.55
h_0,1.15,1.37,1.12,1.02,0.91,0.69,0.64,0.77,0.69,0.61,0.63,0.54,0.57,0.43,0.5,0.6
a_0,1.15,1.26,1.16,0.99,0.97,0.63,0.8,0.66,0.66,0.62,0.61,0.51,0.7,0.69,0.53,0.54
e_0,1.05,1.42,1.17,1.01,1.05,0.63,0.83,0.69,0.68,0.71,0.49,0.67,0.68,0.59,0.69,0.61
g_0,1.14,1.04,1.54,1.17,0.86,0.67,0.76,0.68,0.65,0.72,0.8,0.7,0.64,0.57,0.5,0.54
