,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,0.41,1.35,1.35,1.31,1.51,1.17,0.51,0.76,0.59,0.49,0.52,0.97,0.5,0.33,0.57,0.49
e_1,0.88,0.41,1.39,1.15,1.34,1.19,0.77,0.72,0.77,0.62,0.64,0.72,0.6,0.54,0.48,1.16
d_1,1.2,1.45,0.4,1.3,1.25,1.22,0.73,0.42,1.09,0.68,0.65,0.6,0.56,0.59,0.35,0.69
c_1,1.18,1.43,1.43,0.39,1.51,1.37,0.63,0.64,0.34,0.96,0.53,0.52,0.58,0.47,0.5,0.48
b_1,1.2,1.32,1.39,0.8,0.36,1.62,0.81,0.79,0.64,0.62,0.91,0.61,0.62,0.51,0.51,0.61
a_1,1.56,1.49,1.18,1.41,0.74,0.32,0.84,0.9,0.59,0.68,0.59,0.5,1.89,0.64,0.46,0.62
h_1,1.2,0.85,0.95,1.09,0.9,0.76,0.25,0.59,0.43,0.46,0.38,0.39,0.42,0.75,0.41,0.45
g_1,1.04,0.92,1.07,1.11,0.95,0.83,0.43,0.23,0.39,0.38,0.41,0.43,0.36,0.28,0.67,0.48
d_0,1.12,0.55,1.64,1.31,0.89,1.01,0.47,0.71,0.27,0.46,0.41,0.39,0.43,0.44,0.33,0.37
c_0,1.3,0.86,0.56,2.21,1.09,0.86,0.46,0.63,0.46,0.26,0.66,0.45,0.49,0.38,0.38,0.35
b_0,1.03,0.77,0.77,1.2,1.78,0.98,0.59,0.55,0.48,0.24,0.25,0.39,0.6,0.41,0.48,0.39
f_0,1.54,0.75,0.96,0.95,0.77,1.32,0.53,0.41,0.41,0.39,0.49,0.24,0.45,0.37,0.28,0.73
a_0,1.15,0.84,0.96,1.01,1.2,,0.62,0.63,0.4,0.35,0.27,0.4,0.22,0.33,0.34,0.36
h_0,1.16,0.91,0.77,1.01,0.99,0.91,0.77,0.65,0.41,0.42,0.38,0.44,0.43,0.5,0.46,0.44
g_0,0.87,0.89,1.06,1.02,0.97,1.01,0.41,0.7,0.46,0.45,0.38,0.46,0.45,0.28,0.56,0.39
e_0,1.49,1.21,0.76,1.05,0.89,0.95,0.44,0.45,0.39,0.44,0.39,0.19,0.51,0.37,0.33,0.19
