,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,0.66,0.86,1.32,1.53,1.31,1.15,0.64,0.55,0.45,0.58,0.53,0.54,0.41,0.81,0.46,0.5
f_1,1.46,0.66,1.14,1.18,1.25,1.17,0.43,0.6,0.48,0.45,0.56,0.5,0.34,0.39,0.44,0.39
d_1,1.55,1.47,0.65,1.37,1.31,1.05,0.61,0.41,0.49,0.75,0.49,0.44,0.36,0.42,0.27,0.36
c_1,1.04,1.52,1.51,0.64,1.6,1.28,0.6,0.66,0.64,0.3,0.42,0.45,0.39,0.38,0.37,0.46
b_1,1.44,1.68,1.52,0.87,0.61,1.59,0.79,0.86,0.63,0.53,0.54,0.71,0.47,0.53,0.44,0.53
a_1,1.95,1.72,1.66,1.57,0.94,0.58,0.8,0.66,0.61,0.57,0.65,0.71,0.46,0.53,0.51,0.87
h_1,1.96,2.32,1.95,1.95,1.66,1.67,0.57,0.91,0.75,0.84,0.71,0.7,0.77,0.68,0.58,0.56
g_1,2.15,2.2,2.44,2.34,1.93,1.87,0.77,0.55,0.77,0.8,0.99,0.77,0.5,0.73,0.77,0.75
c_0,2.43,2.19,1.47,3.29,2.14,2.05,1.05,0.92,0.61,1.15,0.87,0.93,0.68,0.74,0.64,0.99
d_0,1.4,2.32,2.83,2.62,2.29,2.17,0.93,1.06,0.74,0.63,0.76,0.83,0.64,0.87,0.76,0.82
f_0,2.02,3.11,2.26,2.53,2.27,1.99,1.13,0.7,0.74,0.88,0.58,0.86,0.71,0.91,0.46,0.74
b_0,2.09,2.3,2.16,2.93,3.55,2.2,1.04,0.99,0.54,0.95,0.8,0.57,0.68,0.81,0.72,0.93
h_0,2.42,2.7,2.3,2.45,2.55,2.05,1.43,1.37,0.98,0.96,0.93,0.91,0.93,0.76,0.83,0.82
e_0,3.18,3.5,2.61,2.88,1.98,2.67,1.06,1.09,0.82,0.98,0.56,0.85,0.94,0.56,0.59,0.92
g_0,2.34,2.89,2.99,2.74,2.62,2.46,1.14,1.36,0.98,0.97,1.06,0.9,0.63,0.97,0.86,0.92
a_0,2.57,3.0,2.93,2.69,2.87,3.99,1.41,1.09,0.81,1.14,1.04,0.53,0.77,1.04,0.83,0.55
