,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.5,0.7,0.48,0.46,0.41,0.32,0.49,0.43,0.51,0.55,0.54,0.27,0.59,0.47,0.35,0.52
e_1,0.46,1.51,0.53,0.4,0.47,0.3,0.57,0.55,0.88,0.58,0.56,0.55,0.51,0.45,0.19,0.59
c_1,0.47,0.38,1.54,0.55,0.64,0.42,0.56,0.51,0.49,0.18,0.53,0.52,0.6,0.42,0.52,0.55
d_1,0.55,0.46,0.42,1.54,0.49,0.36,0.54,0.46,0.26,0.84,0.66,0.5,0.69,0.45,0.47,0.38
b_1,0.51,0.44,0.43,0.46,1.59,0.63,0.57,0.52,0.62,0.66,0.18,0.56,0.57,0.47,0.49,0.61
a_1,0.54,0.68,0.41,0.61,0.36,1.75,0.66,0.54,0.56,0.56,0.59,0.53,0.61,,0.49,0.47
h_1,0.89,0.74,0.74,0.8,0.67,0.51,1.68,0.88,0.8,0.8,0.8,0.73,0.58,0.74,0.68,1.16
g_1,0.75,0.5,0.77,1.04,0.67,0.6,0.81,1.78,0.83,0.85,0.91,1.38,0.77,0.98,0.98,0.63
d_0,0.83,0.7,1.28,0.44,0.6,0.64,0.82,0.82,1.47,0.78,0.84,0.94,0.94,0.69,0.77,1.0
c_0,0.84,0.82,0.6,0.74,0.6,0.75,1.0,0.81,1.01,1.5,1.4,0.79,1.13,0.95,0.83,0.92
b_0,0.89,0.83,0.82,0.75,0.52,0.59,0.9,0.88,0.92,0.85,1.58,0.95,1.2,1.31,0.92,1.12
f_0,0.54,0.67,0.97,0.79,0.77,0.69,1.0,0.77,1.02,1.07,0.73,1.62,1.07,0.69,1.41,1.04
h_0,1.14,0.87,0.87,0.73,0.7,0.55,0.43,1.12,0.89,0.71,0.79,0.83,0.6,0.79,0.64,1.11
a_0,0.89,0.95,0.91,0.82,0.84,,1.0,0.61,0.79,0.85,0.84,0.77,0.97,1.68,0.54,0.87
e_0,1.01,0.52,0.79,0.8,0.9,0.74,1.06,0.86,1.11,0.92,0.85,0.92,1.51,0.96,1.71,0.98
g_0,0.87,0.8,0.9,1.17,0.68,0.7,0.78,0.56,0.85,0.77,0.66,0.97,0.95,0.85,0.79,0.65
