,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,2.43,0.68,0.61,0.78,0.67,0.63,0.92,0.94,0.97,1.59,0.87,0.95,0.93,1.02,0.45,0.92
f_1,1.18,2.59,0.55,0.68,0.55,0.59,0.81,0.75,0.77,0.85,0.42,0.87,0.99,0.89,0.69,0.82
d_1,0.56,0.65,2.72,0.49,0.62,0.66,1.0,0.93,1.82,0.52,1.04,1.16,0.96,0.8,1.13,1.01
c_1,0.6,0.57,0.65,3.02,1.23,0.57,0.92,0.85,0.29,0.87,0.98,0.65,0.9,0.81,0.9,0.89
b_1,0.58,0.73,0.62,0.69,3.24,1.19,0.89,0.91,0.74,0.8,0.97,0.41,0.59,1.04,0.8,0.86
a_1,0.76,0.66,0.7,0.56,0.52,4.46,0.94,0.88,0.92,0.97,1.04,0.96,0.54,1.16,1.23,1.01
h_1,0.64,1.2,0.83,0.8,0.73,0.72,2.57,1.41,1.0,0.99,0.94,1.37,1.2,0.85,1.22,1.56
g_1,0.71,0.72,1.25,0.86,0.79,0.58,0.84,2.95,1.06,0.9,1.77,1.09,0.97,1.34,0.95,0.97
c_0,0.66,0.9,1.09,0.64,0.56,0.76,1.18,1.05,2.08,1.02,1.25,2.59,1.36,1.42,1.51,1.41
d_0,0.76,0.9,0.51,1.45,0.79,0.51,1.1,1.22,0.9,2.09,1.14,1.16,1.33,1.34,1.4,1.07
f_0,0.64,0.52,1.02,0.9,0.67,0.75,1.25,1.04,1.31,1.29,2.67,1.22,1.21,1.24,2.93,1.37
b_0,0.72,0.95,0.9,0.99,0.33,0.59,1.09,1.12,1.15,1.2,1.46,2.57,2.62,1.26,1.37,1.44
a_0,0.73,1.04,0.99,0.87,0.68,0.4,1.22,1.2,1.1,1.1,1.27,1.21,3.22,1.35,1.2,1.34
h_0,0.75,1.23,0.95,0.71,0.71,0.75,0.67,1.52,1.01,0.99,1.12,1.03,1.04,0.85,0.99,1.47
e_0,0.54,0.98,0.84,0.83,0.93,0.64,1.11,0.99,1.15,1.14,1.29,1.41,1.49,1.31,3.33,1.23
g_0,0.73,0.64,1.38,0.82,0.67,0.65,1.03,0.74,1.11,0.98,1.8,1.32,1.2,1.18,1.37,0.88
