,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.96,0.64,0.59,0.66,0.49,0.39,0.43,0.58,0.4,0.37,0.38,0.37,0.35,0.27,0.33,0.25
f_1,0.88,0.96,0.63,0.58,0.48,0.36,0.41,0.44,0.38,0.37,0.34,0.28,0.3,0.27,0.32,0.19
d_1,0.66,0.7,0.96,0.52,0.49,0.36,0.44,0.38,0.57,0.35,0.43,0.35,0.37,0.28,0.31,0.28
c_1,0.66,0.69,0.65,0.95,0.78,0.41,0.42,0.35,0.3,0.32,0.3,0.32,0.34,0.25,0.31,0.26
b_1,0.76,0.74,0.72,0.6,0.95,0.63,0.47,0.42,0.43,0.36,0.31,0.33,0.4,0.26,0.32,0.27
a_1,0.77,0.9,0.85,0.73,0.55,0.94,0.56,0.46,0.48,0.46,0.51,0.36,0.47,0.27,0.41,0.29
h_1,1.0,1.11,0.97,0.92,0.72,0.46,0.82,0.54,0.57,0.6,0.54,0.48,0.47,0.4,0.56,0.38
d_0,0.92,1.0,0.84,1.39,0.89,0.61,0.65,0.73,0.52,0.54,0.57,0.52,0.56,0.41,0.52,0.38
c_0,1.0,1.13,0.99,0.96,0.7,0.56,0.7,0.68,0.77,0.59,0.89,0.58,0.66,0.55,0.54,0.43
g_1,0.9,1.0,1.32,0.95,0.74,0.57,0.61,0.59,0.68,0.79,0.61,0.62,0.53,0.45,0.5,0.44
b_0,0.98,1.15,1.02,1.11,0.76,0.5,0.72,0.71,0.6,0.61,0.76,0.59,0.65,0.73,0.56,0.46
f_0,0.87,1.09,1.18,1.09,0.95,0.67,0.77,0.7,0.67,0.62,0.65,0.73,0.64,0.5,0.53,0.74
h_0,1.14,1.42,1.2,1.05,0.87,0.66,0.64,0.67,0.67,0.72,0.6,0.53,0.59,0.45,0.65,0.41
a_0,1.15,1.24,1.23,1.09,1.01,0.6,0.78,0.78,0.75,0.64,0.66,0.66,0.64,0.69,0.6,0.49
g_0,1.1,1.17,1.5,1.03,0.97,0.71,0.69,0.65,0.7,0.58,0.67,0.78,0.63,0.45,0.53,0.54
e_0,0.94,1.36,1.32,1.23,1.03,0.79,0.86,0.74,0.74,0.65,0.71,0.54,0.73,0.53,0.64,0.65
