,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,2.25,0.62,0.53,0.65,0.54,0.43,1.09,1.03,1.26,2.02,1.0,1.11,0.95,1.5,0.45,1.23
f_1,1.09,2.33,0.48,0.57,0.44,0.41,0.95,0.82,0.99,1.08,0.48,1.02,1.02,1.3,0.68,1.1
d_1,0.52,0.59,2.36,0.41,0.5,0.45,1.18,1.01,2.36,0.66,1.2,1.35,0.99,1.17,1.11,1.35
c_1,0.56,0.51,0.57,2.51,0.99,0.39,1.08,0.93,0.37,1.11,1.13,0.76,0.93,1.19,0.89,1.19
b_1,0.54,0.66,0.54,0.58,2.61,0.82,1.04,0.99,0.96,1.02,1.12,0.48,0.6,1.53,0.79,1.16
a_1,0.71,0.6,0.61,0.47,0.42,3.08,1.11,0.96,1.19,1.24,1.21,1.12,0.56,1.7,1.21,1.36
h_1,0.6,1.08,0.72,0.66,0.58,0.5,3.02,1.54,1.3,1.26,1.08,1.6,1.23,1.25,1.2,2.09
g_1,0.65,0.65,1.09,0.72,0.64,0.4,0.99,3.22,1.37,1.14,2.04,1.27,1.0,1.97,0.93,1.3
c_0,0.62,0.81,0.95,0.53,0.45,0.52,1.39,1.15,2.69,1.3,1.44,3.02,1.4,2.09,1.49,1.89
d_0,0.7,0.81,0.45,1.21,0.63,0.35,1.29,1.33,1.17,2.66,1.32,1.35,1.36,1.97,1.38,1.43
f_0,0.59,0.47,0.89,0.75,0.54,0.52,1.46,1.13,1.69,1.64,3.09,1.42,1.25,1.82,2.89,1.84
b_0,0.66,0.85,0.78,0.82,0.27,0.41,1.28,1.23,1.49,1.53,1.68,3.01,2.7,1.85,1.35,1.93
a_0,0.67,0.94,0.86,0.72,0.54,0.27,1.43,1.31,1.43,1.4,1.46,1.42,3.31,1.98,1.19,1.8
h_0,0.7,1.11,0.82,0.59,0.57,0.51,0.79,1.66,1.31,1.25,1.29,1.21,1.07,1.24,0.98,1.97
e_0,0.5,0.88,0.73,0.69,0.75,0.44,1.3,1.09,1.49,1.45,1.49,1.65,1.53,1.92,3.28,1.65
g_0,0.68,0.58,1.2,0.68,0.54,0.45,1.21,0.81,1.43,1.24,2.08,1.54,1.23,1.73,1.35,1.18
