,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.65,0.86,0.73,1.02,0.76,0.77,1.02,1.53,0.97,0.86,0.97,1.0,1.0,0.83,0.92,1.01
f_1,1.24,1.75,0.73,0.81,0.79,0.69,0.83,0.94,0.84,0.87,1.03,0.62,0.93,0.71,1.04,0.86
d_1,0.8,0.85,2.03,0.66,0.66,0.65,1.05,0.7,1.03,1.67,1.23,1.09,1.08,1.23,1.2,1.01
c_1,0.7,0.8,0.83,1.98,1.41,0.81,0.94,0.77,0.89,0.61,0.68,0.9,0.92,0.85,0.82,0.93
b_1,0.78,0.78,0.8,0.81,2.09,1.54,0.93,0.94,0.95,0.85,0.73,1.06,1.08,0.89,0.72,0.95
a_1,0.77,0.91,0.87,0.83,0.73,3.0,0.98,0.88,0.96,1.03,1.01,1.01,0.96,1.02,0.64,1.13
h_1,0.86,1.07,0.93,0.85,0.82,0.68,1.73,0.98,1.29,1.02,1.0,0.92,0.83,1.04,0.91,1.25
d_0,0.75,0.87,0.67,1.46,0.94,0.78,0.98,1.42,0.89,0.71,0.89,1.16,1.01,1.1,0.99,1.06
g_1,0.8,0.82,1.32,0.74,0.78,0.76,0.89,0.88,2.07,1.13,1.06,1.54,1.08,1.19,1.15,1.01
c_0,0.91,0.97,1.02,0.68,0.68,0.72,1.18,0.97,1.07,1.54,1.85,1.07,1.08,1.21,1.55,0.99
b_0,1.03,0.97,1.02,0.9,0.51,0.61,1.11,1.14,1.09,1.14,1.72,1.09,1.15,1.25,2.4,1.0
f_0,0.76,0.84,1.03,0.82,0.87,0.87,1.22,1.07,1.16,1.12,1.14,1.71,1.13,2.16,0.88,1.22
h_0,0.86,1.17,1.0,0.84,0.8,0.71,0.8,0.95,1.26,0.99,1.03,1.11,0.81,1.09,1.18,1.41
e_0,0.78,1.1,0.93,0.87,0.81,0.73,1.22,1.01,1.04,1.07,1.08,1.2,1.12,2.36,1.09,1.12
a_0,0.87,1.03,1.04,0.83,0.73,0.39,1.13,1.09,1.26,1.15,1.09,1.16,1.15,1.28,2.23,1.09
g_0,0.84,0.78,1.32,0.87,0.94,0.76,1.05,0.75,0.83,1.1,0.96,1.57,0.94,1.14,0.97,0.86
