,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.07,1.09,0.81,0.8,0.64,0.53,0.36,0.56,0.45,0.45,0.38,0.32,0.36,0.34,0.27
e_1,0.93,1.0,0.77,1.07,0.96,0.73,0.55,0.48,0.42,0.57,0.4,0.49,0.39,0.38,0.34,0.37
f_1,0.92,1.31,1.0,0.96,0.85,0.62,0.39,0.56,0.42,0.4,0.4,0.4,0.3,0.31,0.28,0.29
c_1,1.23,0.94,1.03,1.0,1.3,0.81,0.55,0.42,0.38,0.32,0.38,0.44,0.35,0.31,0.29,0.37
b_1,1.25,1.03,1.21,0.77,1.0,1.38,0.62,0.53,0.51,0.45,0.52,0.44,0.35,0.34,0.48,0.43
a_1,1.58,1.33,1.63,1.25,0.72,1.0,0.69,0.67,0.58,0.65,0.63,0.52,0.69,0.53,0.5,0.49
h_1,1.89,1.89,2.62,1.86,1.62,1.39,1.0,1.11,0.89,0.83,0.79,0.7,0.73,0.55,0.63,0.79
g_1,2.7,2.03,1.86,2.25,1.88,1.51,0.89,1.0,0.99,0.79,0.9,1.0,0.68,0.81,0.88,0.71
c_0,1.81,2.43,2.28,2.27,1.92,1.72,1.14,1.04,1.0,1.15,1.23,0.89,0.83,0.78,0.8,0.73
d_0,2.22,1.74,2.42,3.33,2.1,1.58,1.24,1.25,0.88,1.0,0.89,0.96,0.88,0.77,0.9,0.88
b_0,2.27,2.45,2.47,2.51,1.96,1.53,1.25,1.13,0.8,1.12,1.0,0.93,1.16,1.25,0.8,0.86
f_0,2.55,1.96,2.68,2.23,2.24,2.1,1.37,1.0,1.13,1.06,1.08,1.0,1.07,0.84,1.28,0.68
h_0,3.12,2.68,3.48,2.81,2.76,1.48,1.41,1.47,1.22,1.13,0.89,0.92,1.0,0.94,0.76,1.08
a_0,2.91,2.71,3.18,3.16,2.84,1.92,1.83,1.29,1.24,1.28,0.85,1.16,1.05,1.0,0.94,0.84
e_0,3.03,3.04,3.67,3.25,2.21,1.89,1.6,1.19,1.24,1.09,1.28,0.78,1.32,1.05,1.0,1.0
g_0,3.67,2.62,3.53,2.63,2.26,1.92,1.31,1.44,1.38,1.15,1.11,1.57,0.93,1.2,0.99,1.0
