,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,3.74,0.37,0.36,0.51,0.37,0.37,0.64,0.69,1.55,0.84,0.86,0.85,0.89,0.79,0.24,0.82
f_1,0.68,3.91,0.4,0.4,0.34,0.38,0.7,0.67,0.67,0.78,0.75,0.19,0.98,0.8,0.64,0.91
d_1,0.41,0.4,4.22,0.27,0.42,0.38,0.66,0.72,0.18,1.48,1.07,0.8,0.96,0.8,0.83,0.73
c_1,0.31,0.39,0.34,4.52,0.78,0.38,0.81,0.65,0.81,0.13,0.74,0.72,0.79,0.91,0.82,0.92
b_1,0.36,0.46,0.38,0.43,4.74,0.62,0.92,0.76,0.69,0.66,0.11,0.83,0.83,0.42,1.04,0.76
a_1,0.4,0.43,0.37,0.4,0.3,6.95,0.84,0.74,0.87,0.81,0.78,0.92,1.01,0.23,0.66,0.98
h_1,0.62,1.06,0.75,0.59,0.62,0.53,5.29,1.7,1.14,1.25,1.11,1.42,0.45,1.41,1.56,2.14
g_1,0.49,0.56,1.25,0.68,0.64,0.61,1.34,6.11,1.21,1.26,1.43,2.58,1.32,1.13,1.37,0.71
d_0,0.73,0.68,0.22,1.33,0.66,0.79,1.03,1.1,3.7,1.11,1.58,1.74,1.59,1.1,1.39,1.04
c_0,0.69,0.89,0.86,0.36,0.41,0.67,1.29,1.47,1.45,4.0,2.98,1.43,1.77,2.22,1.61,1.52
b_0,0.83,0.69,0.72,0.72,0.3,0.64,1.46,1.24,1.62,1.94,4.48,1.55,1.44,3.38,1.52,1.49
f_0,0.74,0.26,0.85,0.81,0.73,0.74,1.39,1.27,1.47,1.28,1.53,4.17,1.47,1.61,3.38,1.69
h_0,0.7,1.06,0.75,0.62,0.65,0.52,0.43,1.56,1.36,1.42,1.22,1.56,0.58,1.49,1.18,2.14
a_0,0.8,0.82,0.8,0.58,0.69,0.24,1.52,1.46,1.01,1.69,1.64,1.54,1.39,6.3,1.66,1.64
e_0,0.28,0.74,0.87,0.64,0.77,0.72,1.61,1.9,1.7,1.23,1.34,2.02,1.89,1.5,6.3,2.17
g_0,0.67,0.64,0.97,0.64,0.74,0.47,1.08,0.52,1.29,1.32,1.12,2.2,1.39,1.33,1.86,0.77
