,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
d_1,1.0,1.08,1.11,0.9,0.94,0.87,1.07,0.81,1.28,1.08,1.11,0.97,0.93,1.06,1.01,0.84
e_1,0.93,1.0,0.77,1.17,1.11,1.0,1.11,1.09,0.95,1.36,0.99,1.23,1.11,1.12,1.0,1.13
f_1,0.9,1.3,1.0,1.04,0.98,0.83,0.77,1.25,0.94,0.93,0.97,0.99,0.85,0.89,0.81,0.87
c_1,1.11,0.86,0.95,1.0,1.38,1.01,1.02,0.87,0.79,0.7,0.85,1.02,0.93,0.85,0.79,1.05
b_1,1.07,0.89,1.05,0.72,1.0,1.62,1.07,1.02,0.99,0.92,1.09,0.96,0.87,0.85,1.22,1.14
a_1,1.15,0.98,1.21,1.0,0.62,1.0,1.03,1.11,0.97,1.14,1.13,0.96,1.46,1.15,1.09,1.11
h_1,0.93,0.94,1.31,1.01,0.93,0.93,1.0,1.24,0.99,0.98,0.96,0.87,1.04,0.8,0.93,1.21
g_1,1.19,0.9,0.83,1.09,0.97,0.91,0.8,1.0,0.99,0.83,0.97,1.12,0.87,1.06,1.16,0.97
c_0,0.79,1.07,1.01,1.09,0.98,1.04,1.02,1.03,1.0,1.21,1.33,0.98,1.06,1.01,1.06,0.99
d_0,0.92,0.73,1.02,1.53,1.02,0.9,1.05,1.19,0.84,1.0,0.91,1.02,1.06,0.95,1.12,1.14
b_0,0.92,1.01,1.02,1.12,0.93,0.85,1.03,1.05,0.74,1.09,1.0,0.96,1.38,1.51,0.98,1.09
f_0,1.01,0.78,1.07,0.97,1.03,1.14,1.1,0.89,1.02,1.01,1.05,1.0,1.23,0.98,1.51,0.83
h_0,1.07,0.93,1.22,1.06,1.11,0.7,0.98,1.14,0.96,0.93,0.75,0.8,1.0,0.95,0.78,1.15
a_0,0.98,0.93,1.09,1.17,1.12,0.89,1.26,0.99,0.96,1.04,0.71,0.99,1.04,1.0,0.95,0.88
e_0,1.01,1.02,1.25,1.2,0.86,0.87,1.09,0.9,0.94,0.88,1.05,0.66,1.29,1.04,1.0,1.03
g_0,1.18,0.85,1.16,0.93,0.85,0.85,0.86,1.06,1.02,0.89,0.88,1.28,0.88,1.14,0.95,1.0
