,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.96,0.58,0.72,0.51,0.61,0.4,0.44,0.38,0.6,0.3,0.36,0.32,0.27,0.34,0.24,0.31
f_1,0.92,0.96,0.62,0.53,0.56,0.34,0.39,0.39,0.42,0.3,0.28,0.29,0.26,0.32,0.19,0.28
c_1,0.63,0.65,0.96,0.61,0.83,0.41,0.43,0.37,0.35,0.29,0.33,0.28,0.27,0.32,0.27,0.27
d_1,0.71,0.74,0.54,0.96,0.54,0.38,0.44,0.37,0.35,0.54,0.36,0.38,0.35,0.36,0.29,0.27
b_1,0.64,0.67,0.61,0.64,0.95,0.69,0.44,0.35,0.44,0.37,0.35,0.3,0.25,0.35,0.28,0.32
a_1,0.74,0.85,0.77,0.71,0.6,0.94,0.6,0.43,0.46,0.39,0.4,0.46,0.31,0.42,0.35,0.34
h_1,0.96,1.17,0.9,0.91,0.78,0.53,0.81,0.65,0.55,0.44,0.46,0.46,0.37,0.43,0.35,0.48
g_1,0.99,0.96,0.91,1.24,0.81,0.61,0.59,0.8,0.51,0.53,0.67,0.54,0.46,0.5,0.42,0.41
d_0,0.86,1.02,1.45,0.79,0.89,0.6,0.68,0.59,0.74,0.44,0.5,0.47,0.47,0.49,0.41,0.45
c_0,1.13,1.23,0.91,0.97,0.81,0.59,0.81,0.68,0.66,0.74,0.56,0.86,0.59,0.57,0.42,0.53
f_0,0.98,1.13,1.06,1.02,0.95,0.66,0.75,0.57,0.73,0.57,0.73,0.61,0.55,0.59,0.76,0.43
b_0,1.19,1.22,1.04,1.07,0.81,0.51,0.78,0.72,0.63,0.56,0.56,0.75,0.81,0.55,0.39,0.53
a_0,1.17,1.26,1.12,0.98,1.02,0.59,0.84,0.69,0.68,0.62,0.63,0.53,0.71,0.61,0.57,0.47
h_0,1.14,1.36,1.17,1.06,0.97,0.6,0.7,0.78,0.75,0.63,0.52,0.58,0.55,0.54,0.43,0.61
e_0,0.97,1.45,1.15,1.11,1.03,0.7,0.92,0.69,0.68,0.7,0.52,0.65,0.53,0.68,0.67,0.53
g_0,1.11,1.23,1.25,1.45,1.07,0.71,0.78,0.67,0.73,0.64,0.85,0.6,0.54,0.58,0.57,0.49
