,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,98.72,71.81,91.8,88.1,147.83,419.21,9941.49,15666.48,33980.53,23186.04,42828.22,52337.38,96682.76,136707.49,150937.14,201495.67
f_1,53.82,104.83,127.02,92.28,162.0,348.53,9025.79,18290.29,22067.57,31719.38,32610.99,39818.71,92925.81,113046.62,98303.92,196478.12
e_1,49.18,52.82,137.3,116.13,150.15,348.99,8302.75,15584.66,19364.94,39785.4,33367.81,43355.48,77182.62,108460.24,105320.05,170101.47
c_1,53.62,53.46,63.04,151.77,211.32,395.37,8199.96,16474.05,12102.39,20187.43,19270.55,42313.62,63767.79,101172.49,119136.25,166873.6
b_1,44.32,44.71,62.34,66.47,226.39,513.33,6831.38,13878.39,16387.64,20184.44,19134.97,34715.91,52192.35,87082.64,98022.52,142908.53
a_1,31.24,36.49,45.95,56.75,81.78,495.48,6176.95,10774.91,11949.72,16021.74,18110.37,29951.41,33934.92,69473.11,91843.1,120790.75
h_1,15.47,19.46,20.75,22.77,33.34,87.15,3281.42,5245.1,5649.34,6707.72,9197.51,12060.85,20277.04,27439.95,38459.75,56038.0
g_1,15.83,11.47,15.95,17.42,27.93,76.15,1743.22,5564.47,4069.54,4968.21,7007.83,13586.07,18096.95,24535.95,34577.13,33515.41
c_0,11.12,12.66,19.04,18.73,27.67,76.24,1737.63,3850.33,5582.15,6206.44,10453.01,10126.37,20094.16,22323.22,30174.38,35740.33
d_0,9.08,10.27,14.2,29.5,30.37,75.8,1596.12,3315.0,2714.17,6336.48,5382.34,8487.92,15951.45,21774.52,23511.83,29770.37
b_0,9.94,11.99,13.93,21.94,23.63,55.64,1579.0,3080.01,3303.14,5075.3,7512.99,8087.28,23079.42,22450.42,23938.0,32210.05
f_0,9.91,8.11,11.08,15.91,26.79,59.19,1522.25,2677.86,3662.7,4081.9,5012.69,10371.92,13360.55,18352.76,39209.02,30447.07
a_0,7.47,8.09,10.87,14.39,21.17,45.67,1251.7,2211.09,2563.64,3396.63,3909.35,6072.08,15230.53,17692.97,17318.14,24805.54
h_0,7.2,9.37,10.72,11.59,17.68,44.1,932.82,2578.79,2575.08,3272.94,3766.63,5629.11,9650.42,12145.57,14806.95,25200.24
e_0,6.74,7.49,7.67,11.46,20.51,43.07,1038.56,1883.18,2418.12,2832.05,3562.59,4325.49,9452.54,15221.1,23277.05,19272.04
g_0,8.49,5.94,8.23,10.02,15.04,33.94,921.62,1622.18,2552.37,2693.58,3553.61,6128.5,7963.25,12100.68,16058.27,17016.15
